ltable_Title,rtable_Title
hp chromebook 11 (verizon lte),"hp chromebook 11 samsung exynos 5250 1.70ghz, 2gb ram, 16gb emmc, 11.6"" ips uma, no optical, 802.11a/b/g/n, bluetooth, webcam, 30 wh li-polymer,hp,f3x85aa#aba"
hp chromebook 11,"hp chromebook 11 samsung exynos 5250 1.70ghz, 2gb ram, 16gb emmc, 11.6"" ips uma, no optical, 802.11a/b/g/n, bluetooth, webcam, 30 wh li-polymer,hp,f3x85aa#aba"
dell latitude 14 5000 series (e5450),"dell latitude 12 5000 e5250 12.5"" notebook - intel core i5 i5-5300u dual-core (2 core) 2.30 ghz y46fv,dell computers,y46fv"
dell latitude 12 7000 series (e7250),"dell latitude 12 5000 e5250 12.5"" notebook - intel core i5 i5-5300u dual-core (2 core) 2.30 ghz y46fv,dell computers,y46fv"
dell inspiron e1505 (core 2 duo),"dell latitude 12 5000 e5250 12.5"" notebook - intel core i5 i5-5300u dual-core (2 core) 2.30 ghz y46fv,dell computers,y46fv"
dell chromebook 11 (intel core i3),"dell latitude 12 5000 e5250 12.5"" notebook - intel core i5 i5-5300u dual-core (2 core) 2.30 ghz y46fv,dell computers,y46fv"
dell latitude 12 rugged extreme,"dell latitude 12 5000 e5250 12.5"" notebook - intel core i5 i5-5300u dual-core (2 core) 2.30 ghz y46fv,dell computers,y46fv"
dell latitude 12 rugged tablet (7202),"dell latitude 12 5000 e5250 12.5"" notebook - intel core i5 i5-5300u dual-core (2 core) 2.30 ghz y46fv,dell computers,y46fv"
apple macbook air 13-inch (thunderbolt),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple imac 27-inch (intel core i5-4670),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air (nvidia 9400m gt),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook pro 13-inch (core 2 duo 2.4ghz),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air 13-inch,"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook 13-inch (core 2 duo t7200),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook 13-inch white (core 2 duo),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air 11-inch (2015),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook pro 17-inch (core 2 duo t7700),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air 13-inch (mid 2013),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air 13-inch (2014),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple imac (intel core duo),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook (core 2 duo 2.4ghz),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook pro 15-inch (core 2 duo),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air 11-inch (mid 2012),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
apple macbook air 11-inch (2014),"apple macbook air md846ll/a 13.3 inch intel core i7 8gb am 512gb flash (customized),apple computer"
dell latitude 13 7000 series 2-in-1 (7350),"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
dell latitude 12 7000 series (e7250),"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
dell latitude 14 7000 series (e7450),"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
dell inspiron 13 7000 series 2-in-1 special edition (7352),"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
dell latitude 13,"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
dell chromebook 11 (intel core i3),"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
dell inspiron 13 7000 series 2-in-1,"dell latitude 13 7000 13-7350 ultrabook/tablet - 13.3"" - in-plane switching (ips) technology - wireless lan - intel core m 462-9517,dell computers,462-9517"
