_id,similarity,ltable_ID,rtable_ID,ltable_Title,ltable_Brand,ltable_Processor Name,ltable_Processor Speed (GHz),ltable_Processor Brand,ltable_Operating System,ltable_RAM,ltable_Graphics Card,ltable_Storage (GB),ltable_Weight (lb),rtable_Title,rtable_Brand,rtable_Processor Name,rtable_Processor Speed (GHz),rtable_Processor Brand,rtable_Operating System,rtable_RAM,rtable_Graphics Card,rtable_Storage (GB),rtable_Weight (lb)
0,0.8571428571428571,2992,167,hp mini 5101,hp, intel atom n280,1.67,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,2.9,"hp mini 5101 n280 en,hp,fm978ut#aba,vs234570",hp, intel atom n280,1.6,intel,pc,1 gb,intel gma 950,160 gb,5.2
1,0.8571428571428571,2992,774,hp mini 5101,hp, intel atom n280,1.67,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,2.9,"hp mini 5101 n280 en,hp,fm978ut#aba,vs234570",hp, intel atom n280,1.6,intel,pc,1 gb,intel gma 950,160 gb,5.2
2,0.7142857142857143,483,2210,toshiba cb35-a3120 chromebook,toshiba, intel celeron 2955u,1.4,intel, google chrome os, 2 gb, intel hd graphics,16 gb,3.17,"toshiba cb35-a3120 13.3-inch chromebook,toshiba,plm01u-002005",toshiba, intel celeron,1.4,intel celeron,chrome os,2 gb,intel hd graphics,16 gb,3.3
3,0.7142857142857143,912,571,samsung chromebook series 5,samsung, intel atom n570,1.67,intel," google chrome os, google chrome os", 2 gb, intel gma 3150,16 gb,3.2,"samsung series 5 chromebook (wi-fi),????,xe500c21-a04us",samsung, intel atom,1.66,intel,google chrome os,2 gb,intel gma 3150,,3.3
4,0.7142857142857143,912,1178,samsung chromebook series 5,samsung, intel atom n570,1.67,intel," google chrome os, google chrome os", 2 gb, intel gma 3150,16 gb,3.2,"samsung series 5 chromebook (wi-fi),????,xe500c21-a04us",samsung, intel atom,1.66,intel,google chrome os,2 gb,intel gma 3150,,3.3
5,0.7058823529411765,2562,1344,lenovo thinkpad x230,lenovo, intel core i5-3320m,2.6,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 4000,320 gb,3.39,"lenovo thinkpad x230 tablet 34352ju 12.5-inch laptop,lenovo,34352ju,1009355",lenovo, core i5-3320m,2.6,intel,windows 7;,4 gb,intel hd graphics 4000,320 gb,1.0
6,0.7,2789,1854,samsung ativ book 9 plus,samsung, intel core i5-4200u,1.6,intel, microsoft windows 8, 4 gb, intel hd graphics 4400,128 gb,3.06,"samsung ativ book 9 plus np940x3g-k01us 13.3-inch touchscreen laptop,samsung,np940x3g-k01us",samsung, intel core i5,1.6,intel,windows 8;,4 gb,intel hd graphics 4400,128 gb,3.1
7,0.6875,3187,4860,acer travelmate b (tmb115-mp-c23c),acer, intel celeron n2940,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,2.89,"acer travelmate b nx.vbhaa.001;tmb116-mp-c0kk 11.6"" laptop,acer,nx.vbhaa.001;tmb116-mp-c0kk",acer, intel celeron,1.6,intel,windows 10,4 gb,intel hd graphics,500 gb,3.1
8,0.6875,2227,3467,lenovo thinkpad w550s,lenovo, intel core i7-5600u,2.6,intel, windows 8.1 pro, 16 gb, nvidia quadro k620m,512 gb,5.47,"lenovo thinkpad w550s 20e2000vus 15.6-inch laptop,lenovo,20e2000vus",lenovo, intel core i7,2.4,intel,windows 7,16 gb,nvidia quadro k620m,512 gb,5.1
9,0.6842105263157895,1156,1465,vizio 14-inch thin + light (ct14-a4),vizio, intel core i5-3317u,1.7,intel, microsoft windows 8, 4 gb, intel hd graphics 4000,128 gb,3.4,"vizio ct14-a4 14-inch thin + light ultrabook,vizio,ct14-a4",vizio, intel core i5,1.7,intel core i5,windows 8;,4 gb,intel hd 4000,128 gb,3.4
