id,movie_title,year,episode,song_title,artists
720899,what a crazy world,1963.0,nan,oh what a family,alan klein+marty wilde
360456,barneys version,2010.0,nan,moon pie,francisco torres+poncho sanchez
720905,what a crazy world,1963.0,nan,i feel the same way too,alan klein+susan maughan+joe brown
720906,what a crazy world,1963.0,nan,just you wait and see,alan klein+joe brown
13,$2 bill,2002.0,the strokes (#1.1),someday,julian casablancas+the strokes
262158,the porter wagoner show,1961.0,the osborne brothers (#1.517),the carroll county accident,porter wagoner
720911,what a day!,1993.0,nan,happy feet,j. yellen/m. ager+fred penner
720913,what a day!,1993.0,nan,animals have personality,charlotte diamond
589848,rat race,2001.0,nan,rat race (choir version),david forman+jon carin+rick chertoff+baha men
720921,what a girl wants,2003.0,nan,london calling,joe strummer+mick jones+paul simonon+topper headon+the clash+arrangement with sony music licensing
327710,1981,2009.0,nan,hard times,phil oakey+jo callis+philip adrian wright+the human league
622623,song for marion,2012.0,nan,symphony no. 9 in d minor op. 125: an die freude (ode to joy),ludwig van beethoven
720928,what a girl wants,2003.0,nan,you get me,john shanks+shelly peiken+michelle branch+abra moore+arrangement with warner strategic marketing
720927,what a girl wants,2003.0,nan,i wanna be bad,brian kierulf+joshua schwartz+willa ford+arrangement with warner strategic marketing
655394,the dark knight,2008.0,nan,4 a moment of silence,masayuki nakano+michiyuki kawashima+boom boom satellites+arrangement with sony bmg music entertainment
720929,what a girl wants,2003.0,nan,get up offa that thing / release the pressure,deanna brown+yamma brown+deirdre brown+oliver james
491559,jersey boys,2014.0,nan,stay (remastered lp version),maurice williams+frankie valli+the four seasons+arrangement with warner music group film+tv licensing
720940,what a girl wants,2003.0,nan,ride of your life,john gregory+jeff silbar+arrangement with warner strategic marketing
720943,what a gun,2013.0,nan,lobby of love,mark horpinitch
688182,the transporter,2002.0,nan,i got love,nate dogg
589884,ratboy,1986.0,nan,in the name of love,steve dorff+phil brown
557118,nilsson et peggy march,1968.0,nan,good old desk,harry nilsson
720960,what a man,2011.0,nan,isyankar,mustafe sandal+bülent aris+tilmann otto
720963,what a man,2011.0,nan,whatta man,dave crawford+hurby luv bug azor+cheryl salt james
