,id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists,gold_labels
138,402772,601877,938536,evil woman,2002,electric light orchestra,evil woman,1975,electric light orchestra,1
236,705070,383658,678354,one lover at a time,1987,jimmy scott+richard feldman+atlantic starr+arrangement with warner special products,one lover at a time,1987,atlantic starr,1
219,662910,504778,35068,where the wild roses grow,2005,nick cave+kylie minogue,red blooded woman/where the wild roses grow (live in new york),0,kylie minogue,1
274,819115,686068,20656,love me tender,1977,ken darby+elvis presley  )+frank sinatra,love me tender,1956,elvis presley,1
278,824700,298555,709926,i believe in father christmas,1964,greg lake+pete sinfield,i believe in father christmas -  theme from sleigh ride to the winter palace,0,greg lake,1
307,905214,645396,363635,she bangs the drums (live at spike island),2015,the stone roses+ian brown  /john squire,she bangs the drums,1989,the stone roses,1
239,715375,543290,40132,cant help myself,2012,that rogue romeo,myself to myself,1981,romeo void,0
35,110244,689286,405330,at battles end,2011,lisa forseth,the end,0,lisa gerrard,0
204,607089,588584,327417,tuesdays gone,2005,lynyrd skynyrd,tuesday's gone,1973,lynyrd skynyrd,1
392,1095697,711655,901697,top of the world,1993,van halen+sammy hagar+edward van halen+michael anthony+alex van halen,top of the world (remastered album version),0,van halen,1
67,185310,532816,408400,walk me to the bridge,2014,james dean bradfield+nicky wire+sean moore+manic street preachers,put the wood to her,0,tree,0
24,66527,655875,322762,be-bop-a-lula,1989,gene vincent   / tex davis+gene vincent+his blue caps  (as gene vincent+his blue caps),be-bop-a-lula,1980,gene vincent,1
332,960301,721382,920681,house of the rising sun,2015,the animals,heart of the city,0,the unsacred hearts,0
44,134304,719651,558829,small town,2004,john mellencamp,small hours,1977,john martyn,0
241,723748,686006,242641,loving cup,1969,mick jagger+keith richards+the rolling stones,loving cup,1972,the rolling stones,1
129,376251,602331,487371,what is love,2013,haddaway,what is love >reloaded<,0,haddaway,1
93,260427,589884,262351,in the name of love,1986,steve dorff+phil brown,i'm convicted of love,0,roy brown,0
111,316030,167211,542963,angels,2003,norah jones+wax poetic,angels (radio edit),2004,wax poetic feat. norah jones,1
166,498598,402073,397239,when i grow up,1935,ray henderson+shirley temple,when i grow up,2009,fever ray,0
389,1085001,204574,260376,mad about you,2015,belinda carlisle,mad about you (extended version) (digitally remastered '02),1986,belinda carlisle,1
383,1080194,573574,864942,between a house and a road,2009,joy askew,between the house and a road,0,joy askew,1
342,988745,725350,385072,at the dawning of the day,1937,john mccormack,the gods of men,2000,john ottman,0
40,120318,627635,553129,perra enamorada,2009,mogol+lucio battisti+mónica naranjo,enamorada,2005,monica naranjo,0
18,56159,521128,632735,white  discussion,2003,live,white_ discussion,1994,live,1
284,834529,684553,730403,ill never say never to always,2009,the manson family,never say never,2009,the fray,0
79,219151,415587,199770,il primo bacio che darò,1966,federico monti arduini+gigliola cinquetti,il primo bacio che darò,1983,gigliola cinquetti,1
249,745958,428409,314737,fall,2014,the psychedelic furs,fall,1980,the psychedelic furs,1
394,1101651,683260,898933,walking blues,1992,robert johnson+john hammond+honeyboy edwards,walking blues,0,robert johnson,1
71,200248,193196,513296,love you better,2009,the maccabees,love uprising,1971,the chi-lites,0
13,43322,731778,172660,the sun,1970,mejla hlavsa+plastic people of the universe,winter sun,1997,out of the grey,0
367,1053970,79561,322502,let there be drums,2009,incredible bongo band,let there be drums,1973,incredible bongo band,1
213,633141,719421,609432,nervous and shakey,1985,the del fuegos,nervous reck,1994,the hentchmen,0
385,1081920,333654,797155,never can say goodbye,2016,the communards,never can say goodbye,1987,the communards,1
388,1084900,525673,805,ghost highway,1994,mazzy star+david roback,ghost highway,1990,mazzy star,1
228,679217,261975,277272,big wind,1961,porter wagoner,big wind,1997,porter wagoner,1
160,478441,217646,107644,after tonight,2005,justin nozuka,after tonight,2007,justin nozuka,1
104,282557,99786,645352,all right now,1978,free,all right now,0,free,1
161,481976,107124,748461,every day is exactly the same,2010,nine inch nails,every day is exactly the same,2005,nine inch nails,1
83,224619,88991,739710,un año más,1963,ana torroja,un año mas,2006,ana torroja,1
189,578453,308317,312686,valium in the sunshine,2006,maps,valium in the sunshine,2009,maps,1
397,1116892,689507,294574,come on (live),1999,the verve,come on,1991,the nomads,0
118,332156,703022,530791,back in the day punk,2011,the secretions,hard in the city,0,the creatures,0
254,769308,374890,130324,tryin to get the feeling again,1975,barry manilow,back to the wall,2002,barry blue,0
188,574557,604908,194045,i dont know you anymore,2000,darren hayes+daniel jones+savage garden,i don't know you anymore,1999,savage garden,1
208,613167,656130,774316,lazy,2005,daniel johnston,lazy,1980,daniel johnston,1
375,1058033,726383,362679,every day can get you down,2014,john schoolery,down,0,john doe,0
110,311662,554789,57793,a succession of white days,2006,bedroom walls,succession of white days,2006,bedroom walls,1
149,458453,60943,261867,emergency on planet earth,1997,jamiroquai,emergency on planet earth,1993,jamiroquai,1
157,469612,615555,513768,sensemaya,2005,silvestre revueltas+arrangement with sony bmg music licensing,sensemaya,2005,silvestre revueltas,1
152,464132,91824,651525,the devil went down to georgia,1999,tom crain+charlie daniels+taz di gregorio+fred edwards+the charlie daniels band,the devil went down to georgia,1979,the charlie daniels band,1
16,53299,360060,322898,shes a hum dum dinger,1971,jimmie davis,shes a hum dum dinger(from dingersville) pt 2,0,jimmie davis,1
269,799343,11279,309977,i saw your face,2002,antonio dixon+kenneth babyface edmonds+harvey mason jr.+justin guarini,i saw your face,2003,justin guarini,1
75,211502,486527,19190,musetto,1958,domenico modugno,musetto,1987,domenico modugno,1
109,303028,659644,400170,the church is in mourning,2003,shirley caesar,dabbling in the dew,2002,shirley collins,0
327,954341,700017,309421,brown girl in the ring,2013,boney m.,somewhere in the world,1984,boney m.,0
205,608540,685445,353116,love song,2012,mark lenover,love and guilt,1984,mark knopfler,0
315,927416,591554,446696,texas and pacific,1947,jack wolf fine+louis jordan   with his tympany five,texas and pacific,1992,louis jordan,1
139,413163,518001,380578,rock n roll fantasy,2008,stephen mcbean+pink mountaintops,rock 'n' roll fantasy,0,pink mountaintops,1
237,706972,535579,401904,le rêve,2012,alexis rault,le veuf,2004,alexis hk,0
319,931987,597709,872597,no easy way out,1985,robert tepper,no easy way out,1985,robert tepper,1
248,740870,522798,594115,el hombre de negro,2008,johnny cash+loquillo y trogloditas,el fantasma de elvis,0,loquillo y los trogloditas,0
308,905572,714348,620,alive alone,2009,the chemical brothers,rockin' alone,1994,everly brothers,0
19,59321,460932,470206,estranged,1992,guns n roses,estranged,1991,guns n' roses,1
226,673200,265919,846751,hold on,1959,hall johnson+peggy lee,hold on to freedom,0,lee michaels,0
306,892496,231042,859604,reason is treason,2010,sergio pizzorno+kasabian,reason is treason,2003,kasabian,1
3,6056,632937,741085,rockin all over the world,2003,john fogerty+status quo,all over,0,john holt,0
276,822220,220371,161836,push it,2014,salt-n-pepa,push it,0,salt-n-pepa,1
125,357163,721143,556882,never be me,1969,the pretty things,deliver me,1996,the beloved,0
77,212826,654938,166678,lullaby (live at wembley arena),1991,the cure,lullaby,1989,the cure,1
184,560342,701723,151377,were all in this together,2005,ketch secor+willie watson+old crow medicine show,we're all in this together,2004,old crow medicine show,1
301,876516,708627,488513,ive never been in love before,2003,frank loesser+alan broadbent,two in love,1998,frank sinatra,0
379,1065132,441932,473800,let me go home  whiskey,2015,john willie henry+snooks eaglin,let me go home_ whiskey,1994,snooks eaglin,1
346,997513,134768,176985,the city,2009,the dismemberment plan,the 13th floor,0,the urges,0
182,547946,361722,745252,in fear of fear,1999,bauhaus,in fear of fear,0,bauhaus,1
356,1006212,553117,758571,gai soleil,2003,a. yalcindag+e. wawra+alphawezen+asu yalcindag+daniel petrovich,gai soleil,2001,alphawezen,1
80,220202,356285,265727,super loser,2006,japanther,super loser,2003,japanther,1
258,779623,496172,728197,dance on your grave,1998,louise hoffsten+arrangement with bmg music publishing music,dance on your grave,1995,louise hoffsten,1
11,39375,724546,696588,you are the one i love,1933,leroy shield,love in the morning,0,leroy sibbles,0
298,868493,55891,875233,blue eyes woman,2007,the go,blue moon,1977,the marcels,0
86,236426,341110,17709,string quartet no. 1 movement 2 minuet trio,2004,mark thomas,movement,0,mellow mark,0
266,794541,721719,551185,the birth of the blues,1948,ray henderson,dust of the chase,0,ray wylie hubbard,0
36,113791,287147,378919,wherever you will go,2004,alex band+aaron kamin+the calling,wherever you will go,2001,the calling,1
382,1074873,649531,501836,a reflection on a summers day,1966,donovan,summer day reflection song,1989,donovan,0
58,158010,492604,277630,come around,2007,mental as anything,come around,1980,mental as anything,1
41,123188,730816,657520,police & thieves,1991,junior murvin,police & thieves,1979,junior murvin,1
270,804991,205708,13118,bruttosozialprodukt,2015,friedel geratsch+reinhard baierle+geier sturzflug,bruttosozialprodukt,1982,geier sturzflug,1
50,146607,559540,252688,if this is love,2014,the precisions,what love is this,2003,the bad plus,0
209,620591,726199,841101,last goodbye,2013,phong huynh.,last chance,1976,taï phong,0
317,928590,667084,621952,night bird,1996,deep forest,black night,1970,deep purple,0
316,928406,500,621952,black night,2005,deep purple,black night,1970,deep purple,1
331,959973,425095,711391,dreamer,2008,supertramp,dreamer,1974,supertramp,1
123,352987,340334,351816,dark side,2012,the shadows of knight,dark side (lp version),0,the shadows of knight,1
222,664400,733593,666867,hoy tengo ganas de tí,2012,miguel gallardo,hoy,0,miguel morales,0
62,165930,484602,738964,my life,2008,ayreon the don,war of life,0,the sick,0
302,879340,114678,603911,brand new watusi,2010,quantic,brand new watusi feat. eq,2002,quantic,1
130,380604,600616,459663,suite aus der wasser musik  allegro,1995,georg friedrich hndel+sdvest sinfonieorchester,allegro,1996,georg friedrich händel,0
187,570898,457807,314149,loopzilla,2004,george s. clinton,loopzilla,1993,george clinton,1
23,64432,527491,823591,flash in the night,2008,tim norell+björn håkanson+secret service,flash in the night,1982,secret service,1
43,131908,449319,726653,love me,2010,the cramps,love these hands,1990,the northern pikes,0
0,558,454747,944347,lend your love to me tonight,1982,greg lake+pete sinfield+emerson lake+palmer,lend your love to me tonight,1977,greg lake,1
201,604263,691593,846678,bring on the sunshine,1985,danny epps+brenda lee,rokin' on the tables,0,danny breaks,0
339,982797,557611,84443,la meva gent,2010,la resistència,la maroma,0,la camorra,0
98,270224,726383,725446,every day can get you down,2014,john schoolery,can you take it,1982,john mellencamp,0
387,1083614,497718,459156,gives you hell,2009,the all-american rejects,gives you hell,2008,the all-american rejects,1
178,538270,505569,476923,sarà perchè ti amo,1985,ricchi e poveri+dario farina+enzo ghinazzi+duranice pace,sarà perchè ti amo (radio edit),0,ricchi e poveri,1
256,776971,620439,443741,melancholy mood,1949,walter schumann,blue mood,0,little walter,0
94,261611,605403,322874,walking on the moon,2001,daniel may,on the moon,2009,daniel wang,0
369,1056771,458286,850066,i want to do it with you,1984,layng martine+jr.+the pointer sisters,should i do it,1981,the pointer sisters,0
95,262996,663993,511955,word up,2016,cameo,word up,1986,cameo,1
351,1004475,134768,591142,the city,2009,the dismemberment plan,the runaway train,0,the teddybears,0
169,507742,428399,618332,sweet talkin woman,1978,jeff lynne+electric light orchestra,sweet talking woman,1990,electric light orchestra,1
69,192972,721382,55536,house of the rising sun,2015,the animals,the coat of arms,2006,the brother kite,0
305,891094,287020,132623,listen,2004,beyoncé knowles+henry krieger+scott cutler+anne preven+charlene dawson,listen,2006,beyoncé,1
48,140590,495540,374559,opening titles,1993,john williams,opening titles (jurassic park/soundtrack version),0,john williams,1
207,610019,723006,34534,love  you didnt do right by me,1954,irving berlin+rosemary clooney,love_ you didn't do right by me,2004,rosemary clooney,1
279,825650,727819,869584,burning house of love,1985,john doe+exene cervenka+x.,burning house of love,0,x,1
227,674164,83462,701566,im good,2004,clipse,i'm good,2009,clipse,1
148,457105,711065,692723,aint no love in the heart of the city,1997,michael price+dan walsh,the desert of my heart,0,michael whalen,0
143,431207,285951,586218,umbrella,2004,jls,umbrella,2009,jls,1
180,539838,473869,944719,hitlers still a nazi,2014,biscoe/latter+performed by the epileptics,hitler's still a nazi,2003,the epileptics,1
131,380756,313339,28149,sneakernight,2005,vanessa hudgens,sneakernight,2008,vanessa hudgens,1
357,1007442,484602,545332,my life,2008,ayreon the don,my island,2003,the hollies,0
398,1119624,579597,459308,escape from suburbia,1982,jerry goldsmith,escape from air force one,1997,jerry goldsmith,0
262,788356,733846,721705,el mundo al revés,2007,maría isabel,el mundo al revés,0,maria isabel,1
324,951082,471169,203458,she wants to move (mac & toolz remix),2005,chad hugo+pharrell williams+n.e.r.d.,she wants to move (dfa remix),0,n.e.r.d.,1
203,605107,519855,401771,the cow song,2005,the mountain goats,the jet song,0,the stoner,0
84,225689,639107,298766,try (just a little bit harder),2009,jerry ragovoy+chip taylor+janis joplin,try (just a little bit harder),1969,janis joplin,1
121,345868,422626,352128,dark end of the street,2006,chips moman+dan penn+james carr,the dark end of the street,1966,james carr,1
345,993026,317067,466939,unveiling the secret,2009,psyche,unveiling the secret (tapeworm remix),2006,psyche,1
366,1053852,371147,933439,urban guerillas,2011,mike graham+the subhumans,urban guerillas,0,the subhumans,1
91,254960,302965,13993,its like that,1964,run-dmc vs. jason nevins,it's like that,1984,run-dmc vs. jason nevins,1
82,220840,670123,673929,dont look back into the sun,2011,the libertines,fingers of the sun,1967,the fugs,0
267,797384,362939,617167,changes iv,2012,cat stevens,changes iv,1971,cat stevens,1
119,332197,219293,530791,a day in the life,2011,the beatles,hard in the city,0,the creatures,0
291,854719,721403,531474,fade to grey,2005,visage,fade to grey,1980,visage,1
57,157021,365390,794108,new in town,2009,little boots,new in town [no one is safe - al kapranos remix],2009,little boots,1
321,937069,578083,506824,macarena,2009,los del río+antonio romero    / rafael ruiz,macarena,1993,los del rio,1
257,779591,544024,403489,at the fireplace,2007,altan urag,the roseville,2005,altan,0
355,1006153,734440,407217,blue danube,2015,hubert von goisern,blue guitar,0,hubert sumlin,0
42,123842,212306,556665,the sun is an old friend,2011,el perro del mar,the sun is an old friend (album version),2008,el perro del mar,1
105,287318,477801,103330,fire,2013,kasabian,fire,2009,kasabian,1
368,1054914,728839,209668,its all too much,1968,the beatles+george harrison,too much violence,1994,the clean,0
273,813633,669156,622446,what you really want,1987,michael sembello+david batteau,what you really want (bonus track),0,michael sembello,1
353,1005027,536790,754751,el amante de fuego,2006,nacho cano+mecano,el amante de fuego,0,mecano,1
38,119746,437879,945146,illusions,2006,the panic channel,illusions,2004,the pharcyde,0
53,151432,214392,469563,kinda new,2007,spektrum,kinda new (tiefschwarz dub),0,spektrum,1
347,998844,733987,466482,dialogue of the electrons,1956,jack beaver,flight of the wax tadpole,2005,jack endino,0
128,368441,359676,492584,illusive consensus,2004,mark jansen+ad sluijter+coen janssen  simone simons+epica,illusive consensus,0,epica,1
290,854120,664644,134270,they looked so pretty on the envelope,1943,jay gorney+victor moore,on the mainland,1996,christy moore,0
28,81515,730155,314667,lilacs in the rain,1948,peter de rose,i am the rain,2009,peter doherty,0
183,555658,708549,380640,talk of love,1976,jean bouchéty+vince hill,in the name of love,1977,dan hill,0
163,493803,407259,731437,se felíz con el  per mi no hay pez,2001,diego herrera,no se que hacer con ella,0,pablo herrera,0
151,462851,30118,890241,spend my life with you,1990,eric benét+tamia,spend my life with you (album version),1999,eric benet,1
244,737095,716413,332106,trojan horse,2005,the rattlesnakes,horse feathers,0,the pope,0
202,604704,522271,352356,honky tonk (part ii),1987,bill doggett+berisford shepherd,honky tonk (part 2),0,bill doggett,1
31,101158,695886,837206,untitled,1936,harry warren,untitled,1996,harry pussy,0
32,101668,454176,880857,serenity,2004,godsmack,serenity,2003,godsmack,1
127,366471,528947,89872,youre ever so inviting,2006,underoath,you're ever so inviting,2006,underoath,1
185,564979,231063,88046,map of the problematique,2010,matthew bellamy+muse,map of the problematique,0,muse,1
372,1057292,219254,369263,the chainsaw juggler,2011,the four postmen,the chosen,0,the awakening,0
288,840745,717051,951259,this must be the place (naïve melody),2010,david byrne+tina weymouth+jerry harrison+chris frantz+talking heads+arrangement with warner music group film+tv licensing,this must be the place (naive melody) (2005 remastered lp version ),0,talking heads,1
362,1019541,185145,780571,love is a matter of distance,2001,tim christensen+will young,love is a matter of distance,2003,will young,1
147,456467,523864,156294,baby-baby-baby,1995,l.a. reid+kenneth babyface edmonds+daryl simmons+tlc,baby-baby-baby,1992,tlc,1
285,834540,721143,730403,never be me,1969,the pretty things,never say never,2009,the fray,0
370,1057067,714348,462351,alive alone,2009,the chemical brothers,alive alone,1995,the chemical brothers,1
177,536194,23233,18266,handful of keys,1994,fats waller,a handful of keys,2003,fats waller,1
99,273339,614623,335356,good life,1990,kevin saunderson+paris grey+roy holman+inner city,good life (unity remix),1993,inner city,1
338,981547,656497,654191,dont let go,2010,david anthony affleck,can't let go,2005,anthony hamilton,0
335,972595,302761,36286,sandstorm,1964,cast,sandstorm,0,cast,1
197,595356,723839,118972,give me a smile and a kiss,1920,john steel,smile,0,long john baldry,0
243,736576,708291,121696,for the good times,2002,kris kristofferson+jonathan pryce,for the finding,0,kris gruen,0
115,328506,228652,623116,almost lover,2011,a fine frenzy,almost lover (album version),2008,a fine frenzy,1
265,794462,652271,551185,just for the hell of it,1981,ray stevens,dust of the chase,0,ray wylie hubbard,0
72,205072,177761,775981,older guys,2010,chris hillman+bernie leadon+gram parsons+the flying burrito brothers,older guys,1970,the flying burrito brothers,1
333,963558,583758,577937,move any mountain,2015,the shamen,move any mountain (tomka mix),1996,the shamen,1
25,73235,684923,765109,there is a light that never goes out,1992,johnny marr+morrissey+the smiths,there is a light that never goes out,2005,morrissey,1
165,496501,700074,227949,money in my pocket,2014,joe gibbs+dennis brown,in my dreams,0,joe zangie,0
337,979207,650510,32534,across the borderline,1982,jim dickinson+john hiatt+ry cooder+freddy fender,across the borderline,0,jim dickinson,1
384,1080407,391920,257313,disfraz de tigre,2007,genís segarra+carlos ballesteros+hidrogenesse,disfraz de tigre,2007,hidrogenesse,1
174,527647,386470,73289,where do the children play,2004,,do the knowledge,2000,konceptual dominance,0
386,1081925,308376,797155,kiss and say goodbye (single version),2006,the manhattans,never can say goodbye,1987,the communards,0
39,120263,464166,337619,cowboy cadillac,1981,michael martin murphey,cowboy christmas ball,1994,michael martin murphey,0
193,588085,1302,400842,man of the hour,2005,john farnham+steve kipner+dane deviller+sean hosein,man of the hour,2000,john farnham,1
314,919127,570208,944392,in unaltra vita,2008,ludovico einaudi,in un'altra vita,2001,ludovico einaudi,1
88,245005,305017,556190,rebirth got fire,2010,rebirth brass band,fire,0,rebirth brass band,0
70,198684,730821,532941,this is the first time,2011,truly smith,the lady is a tramp,0,tommy smith,0
87,236679,687776,803221,no beliefs no reliefs,2006,,no one,0,cece winans,0
292,856326,729705,677144,the wabe,1968,john simon+peter yarrow,now's the time,0,john lewis,0
242,734221,380592,390832,top of the world,2005,the all-american rejects,rise in the strength of jah,1999,the viceroys,0
277,823620,717953,609158,die slow,2010,health,die slow,0,health,1
211,625303,312769,833709,still in love song,2004,the stills,love in them there hills,1974,the pointer sisters,0
9,21301,635679,423,plenty,2015,sarah mclachlan,plenty,1993,sarah mclachlan,1
359,1014250,720277,395034,pioneers prayer,1956,paul j. smith,prayer meetin',0,jimmy smith,0
195,590068,299086,101158,i might be lying,1964,eddie+the hot rods,i might be lying,1994,eddie & the hot rods,1
251,757995,334626,565840,mi mariachi,1994,mariachi sol de mexico de jose hernandez+jose l. hernandez,mi jalisco,0,mariachi sol de mexico,0
323,939779,565033,282541,mama  you been on my mind,2004,bob dylan,woman on my weary mind,0,bob crosby,0
192,586417,642191,194041,song for the elf,2005,david rovics,song for monet,1985,david lanz,0
117,332088,630642,530791,in the shadows,2004,the rasmus,hard in the city,0,the creatures,0
47,138641,630270,297897,give me back my wig,2004,theodore roosevelt taylor,give me your change,0,roosevelt sykes,0
172,515408,670930,173787,string quartet no. 8 in c minor  op. 110; 4. largo,2015,dmitri shostakovich+emerson string quartet,string quartet in e major_ op. 76-vi: i. allegretto-allegro,0,budapest string quartet,0
