ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
0,"apple ibook laptop (500-mhz powerpc g3, 64 mb ram, 10 gb hard drive),apple computer,m7698ll/a",apple, powerpc g3,0.5,ibm,mac os 10.4.11,64 mb,ati rage,10 gb,12.1,1024,768,4.9
1,"ibm thinkpad t23 laptop (1.13-ghz pentium iii, 128 mb ram, 30 gb hard drive),ibm,26478mu",ibm, intel pentium iii,1.13,intel,xp,128 mb,s3 supersavage/ix,30 gb,,1024,768,5.2
2,"compaq comp. tft5600 rm integrated-kybd/mon ( 221546-001 ),compaq,221546-001,487445",,,,,,,,,,,,
3,"apple powerbook laptop 12.1"" m9007ll/a (1.0-ghz powerpc g4, 256 mb ram, 40 gb hard drive, dvd/cd-rw combo drive),apple computer,m9007ll/a",apple, powerpc g4,1,ibm,apple mac os x,256 mb,geforce fx,40 gb,12.1,1024,768,4.6
4,"apple ibook laptop 14.1"" m9388ll/a (933-mhz powerpc g4, 256 mb ram, 40 gb hard drive, dvd/cd-rw drive),apple computer,m9388ll/a",apple, powerpc g4,1.33,ibm,mac os x,256 mb,ati mobility radeon 9200,40 gb,14.1,1024,768,7
5,"apple ibook laptop 14.1"" m9165ll/a (1ghz powerpc g4, 256 mb ram, 60 gb hard drive, dvd/cd-rw drive),apple computer,m9165ll/a",apple, powerpc g4,1,ibm,apple mac os x 10.3,256 mb,ati mobility radeon 9200,60 gb,14.1,1024,768,12
6,"ibm thinkpad t41 (2379dju) laptop (1.60 ghz pentium m (centrino), 256 mb ram, 40 gb hard drive, dvd/cd-rw combo),ibm,2379dju",ibm, pentium,1.6,intel,windows xp professional,256 mb,ati mobility radeon 9000,40 gb,14.1,1400,1050,4.7
7,"hp compaq business notebook nc6000 - 14.1"" tft ( dd522av ),hewlett packard,dh945u#aba",hp,,,,,512 mb,ati mobility radeon 9600,,14.1,,,8
8,"ibm thinkpad x40 2371ghu laptop (intel pentium m processor 1.40 ghz, 512 mb ram, windows xp professional),lenovo,2371ghu",,,,,,,,,,,,
9,"apple g4 12.1"" powerbook (1.5 ghz processor, 512 mb ram, 60 gb hard drive, cd-rw/dvd drive, mac os x 10.4),apple computer,m9690b/a",, powerpc g4,1.5,aim,apple mac os x,512 mb,geforce fx go5200,60 gb,12.1,,,11.5
10,"apple powerbook g4 - ppc g4 1.67 ghz - ram 512 mb - hdd 80 gb - dvd?rw - mobility radeon 9700 - gigabit ethernet - wlan : 802.11b/g, bluetooth - macos,apple computer,m9677b/a",apple, powerpc,1,aim,apple mac os x 10.3,512 mb,ati mobility radeon 9600,80 gb,15.2,,,5.5
11,"apple ibook g4 800mhz, 384mb, 30gb, cdrom, wireless, leopard,apple computer,ibook g4 800",,,0.8,,,384 mb,,30 gb,,,,2.2
12,"apple macbook pro 15.4"" laptop - 500 gb hardrive - i7 quad-core - mc721ll/a,apple computer,mc721ll/a",apple, intel core i7,2,intel,mac os x v10.7 lion,4 gb,amd radeon hd 6490m,500 gb,15.4,1440,900,5.6
13,"apple macbook pro ma092ll/a 17"" laptop (2.16 ghz intel core duo, 1 gb ram, 120 gb hard drive, superdrive),apple computer,ma092ll/a",apple, intel core duo,2.16,intel,mac os x v10.4 tiger,1 gb,radeon,120 gb,17,1680,1050,5.6
14,"toshiba satellite a105-s101 notebook pc (intel® celeron® m processor 380 -mist gray) 1.6 ghz, 256 mb ram, 60 gb hd, cd-rw/dvd combo,toshiba,a105-s101",toshiba,,,intel,windows xp home,,radeon,,,1280,800,6
15,"apple macbook pro mc724ll/a 13.3-inch laptop (old version),apple computer,mc724ll/a",apple, intel core i7,2.7,intel,mac os x v10.7 lion,4 gb,intel gma hd graphics 3000,500 gb,13.3,1280,800,4.5
16,"lenovo thinkpad t60 2623 15-inch laptop,lenovo,2623-d3u",lenovo, intel core duo,2,intel,"microsoft windows vista, windows vista home premium",1 gb,ati mobility radeon x1400,100 gb,15,1400,1050,6.3
17,"lenovo thinkpad t60 2007 - core duo t2400(1.83ghz) laptop with windows xp,ibm,2007-56u",wireless notebooks, intel core duo,1.83,intel,windows xp;,512 gb,ati mobility radeon x1400,60 gb,15,1024,768,7
18,"hp compaq nc6400 business notebook,hp,ra266aa#aba,937996",hp, intel core duo,1.83,intel,mircosoft windows xp professional,1 gb,gma,80 gb,14.1,1280,800,4
19,"apple macbook pro - core duo 2.16 ghz - ram 1 gb - hdd 100 gb - dvd?rw - mobility radeon x1600 - gigabit ethernet - wlan : 802.11b/g, bluetooth 2.0 edr - macos x 10.4 - 15.4"" widescreen tft 1440 x 900 ( wxga+ ) - camera,apple,ma601d/a",apple, core 2 duo,2.16,intel,apple mac os x 10.4,1 gb,radeon,100 gb,15,1440,900,2.2
20,"ibm thinkpad t40 1.5 ghz pentium m (centrino) notebook pc with 40 gb hard drive,ibm,t40 / 2373-75u",ibm, pentium,1.5,intel,windows xp;,512 mb,radeon,40 gb,14.1,,,7.9
