ASIN,Title,Price,Customer Reviews,Best Sellers Rank,Date First Available,Brand Name,Series,Item model number,Color,Processor,Processor Brand,Processor Count,Screen Size,Screen Resolution,Max Screen Resolution,Hardware Platform,Operating System,Graphics Coprocessor,Card Description,Graphics Card Ram Size,Chipset Brand,RAM,Computer Memory Type,Hard Drive,Hard Drive Interface,Hard Drive Rotational Speed,Battery Type,Average Battery Life (in hours),Product Dimensions,Item Weight
B00005NBIT,"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive),Apple Computer,M7698LL/A",,2.1,"9,328","September 20, 2001",Apple,Apple iBook M6497,M7698LL/A,,0.5 GHz PowerPC G3,IBM,1,12.1 inches,1024-by-768,,Mac,Mac OS 10.4.11,ATI RAGE,integrated,8 MB,,64 MB,SDRAM,10 GB Ultra ATA,EIDE,,42-watt-hour,5 hours,9.1 x 11.2 x 1.4 inches,4.9 pounds
B00005TSMG,"IBM Thinkpad T23 Laptop (1.13-GHz Pentium III, 128 MB RAM, 30 GB hard drive),IBM,26478MU",,3.3,"18,528","November 15, 2001",IBM,,26478MU,Black,1.13 GHz Intel Pentium III,Intel,1,,1024-by-768,,,XP,S3 SuperSavage/IX,integrated,8 MB,,128 MB,SDRAM,30 GB,EIDE,,,,9.8 x 12 x 1.3 inches,5.2 pounds
B00006BB4F,"Compaq Comp. TFT5600 RM INTEGRATED-KYBD/MON ( 221546-001 ),Compaq,221546-001,487445","1,031.36",,"22,539",,,,,,,,,,,,,,,,,,,,,,,,,,
B0000DCYCR,"Apple PowerBook Laptop 12.1"" M9007LL/A (1.0-GHz PowerPC G4, 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Combo Drive),Apple Computer,M9007LL/A",,4.0,"13,014","September 18, 2003",Apple,PowerBook,M9007LL/A,,1 GHz PowerPC G4,IBM,1,12.1 inches,1024-by-768,1024 x 768 pixels,Mac,Apple Mac OS X,GeForce FX,NVIDA GeForce FX Go5200 with AGP 4x,32 MB,NVIDIA,256 MB DDR,DDR SDRAM,40 GB,Ultra ATA,,,5 hours,15.4 x 7.8 x 12.7 inches,4.6 pounds
B0000U98MQ,"Apple iBook Laptop 14.1"" M9388LL/A (933-MHz PowerPC G4, 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Drive),Apple Computer,M9388LL/A",,3.0,"4,613","October 22, 2003",Apple,M9388LL/A,M9388LL/A,,1.33 GHz PowerPC G4,IBM,1,14.1 inches,1024-by-768,,,Mac OS X,ATI MOBILITY RADEON 9200,dedicated,32 MB,,256 MB DDR,SDRAM,40 GB,Ultra ATA,,,,17.9 x 8.5 x 14.9 inches,7 pounds
B0000U9KSI,"Apple iBook Laptop 14.1"" M9165LL/A (1Ghz PowerPC G4, 256 MB RAM, 60 GB Hard Drive, DVD/CD-RW Drive),Apple Computer,M9165LL/A",,3.2,"4,960","October 22, 2003",Apple,iBook,M9165LL/A,,1 GHz PowerPC G4,IBM,1,14.1 inches,1024-by-768,,,Apple Mac OS X 10.3,ATI Mobility Radeon 9200,dedicated,32 MB,,256 MB DDR,SDRAM,60 GB,Ultra ATA,,,,17.9 x 8.5 x 14.9 inches,12 pounds
B00015XMDG,"IBM ThinkPad T41 (2379DJU) Laptop (1.60 GHz Pentium M (Centrino), 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Combo),IBM,2379DJU",,3.0,"9,180","December 9, 2003",IBM,ThinkPad,2379DJU,,1.6 GHz Pentium,Intel,1,14.1 inches,1400-by-1050,,,Windows XP Professional,ATI Mobility Radeon 9000,dedicated,32 MB,,256 MB DIMM,DDR SDRAM,40 GB,,,,,12.2 x 10.4 x 1.2 inches,4.7 pounds
B0001YXWK0,"HP Compaq Business Notebook NC6000 - 14.1"" TFT ( DD522AV ),Hewlett Packard,DH945U#ABA",,5.0,"16,431","March 27, 2004",HP,HP Compaq NC6000,DH945U#ABA,,Pentium,,,14.1 inches,,,,,ATI Mobility Radeon 9600,,,,512 MB,,,,,,5 hours,12 x 4 x 12 inches,8 pounds
B0006OCF4O,"IBM Thinkpad X40 2371GHU Laptop (Intel Pentium M Processor 1.40 GHZ, 512 MB RAM, Windows XP Professional),Lenovo,2371GHU",,4.0,"8,451",,,,,,,,,,,,,,,,,,,,,,,,,,
B0007QU6P6,"Apple G4 12.1"" Powerbook (1.5 GHz Processor, 512 MB RAM, 60 GB Hard Drive, CD-RW/DVD Drive, Mac OS X 10.4),Apple Computer,M9690B/A",,3.5,"8,975","December 19, 2006",,PowerBook,M9690B/A,,1.5 GHz PowerPC G4,AIM,,12.1 inches,,,,Apple Mac OS X,geforce fx go5200,,,,512 MB DDR,,60 GB mechanical_hard_drive,,,,,15.3 x 12.6 x 7.9 inches,11.5 pounds
