Title,Price,Currency,Sold by Newegg,Rating,Brand,Model,Color,CPU Type,CPU Speed,Number of Cores,Screen Size,Resolution,Touchscreen,Operating System,GPU/VPU,Graphic Type,SSD,HDD,Memory,Battery,Battery Life,Dimensions (W x D x H),Weight
Premium Series UB1234-ER -,29.78,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12350FR-ER -,138.97,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB6120-ER -,29.78,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB490-ER -,30.96,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB6120TOY-ER -,39.29,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB6120-F2-ER -,29.78,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB613-ER -,13.07,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB6130TOY-ER -,36.93,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB634-ER -,16.62,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB1222-ER -,22.58,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12220-ER -,68.24,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB1229T-ER -,32.15,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB1208-ER -,25.01,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12100-S-ER -,46.44,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB121000-ER -,312.89,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB121100-ER -,345.96,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB1213-ER -,17.86,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12180FR-ER -,71.89,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12900-Z1-ER -,298.71,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB1270FR-ER -,35.75,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB14A-A2-ER -,63.27,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB1255022NF-ER -,207.47,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB14L-A2-ER -,62.09,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB3-2-6-ER -,17.86,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB445-ER -,17.86,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12750FR-ER -,292.81,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB12900-ER -,298.71,USD,no,,,,,,,,,,,,,,,,,,,,
Premium Series UB685-ER -,27.37,USD,no,,,,,,,,,,,,,,,,,,,,
"TOSHIBA Satellite Intel Core i5 6GB Memory 500GB HDD 32GB SSD 14.4"" Notebook Windows 8 U845W-S4170 -",959.95,USD,no,4,TOSHIBA,U845W-S4170,Midnight Silver Aluminum,Intel Core i5 3rd Gen,3337U (1.80 GHz),,"14.4""",1792 x 768,,Windows 8,Intel HD Graphics 4000,Integrated Card,32 GB,500 GB,6 GB DDR3,4-cell lithium ion,,"14.5"" x 7.9"" x 0.8""",
"SAMSUNG 13.3"" NP900X3E-K01US Intel Core i7 3rd Gen 3537U (2.00 GHz) Intel HD Graphics 4000 4 GB Memory 256 GB SSD Windows 8 64-bit Ultrabook -",1899.95,USD,no,3,SAMSUNG,NP900X3E-K01US,Mineral Ash Black,Intel Core i7 3rd Gen,3537U (2.00 GHz),,"13.3""",1920 x 1080,No,Windows 8 64-bit,Intel HD Graphics 4000,Integrated Card,256 GB,,4 GB DDR3,4-cell lithium ion,Up to 5.8 hours,"12.35""L x 8.60""W x 0.51""H",2.56 lbs.
"Dell Latitude Intel Core i5 4GB 128GB SSD 14"" LED Ultrabook (6430U) -",999.95,USD,no,,DELL,6430u (469-3884),,Intel Core i5 3rd Gen,3427U (1.80 GHz),,"14""",1366 x 768,No,Windows 7 Professional 64-Bit,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,3-cell lithium ion,,,
"TOSHIBA 14"" U945-S4130 Intel Core i3 3rd Gen 3227U (1.90 GHz) Intel HD Graphics 4000 4 GB Memory 32 GB SSD 500 GB HDD Windows 8 Ultrabook -",899.89,USD,no,,TOSHIBA,U945-S4130,Ice Blue with Fusion Lattice,Intel Core i3 3rd Gen,3227U (1.90 GHz),,"14""",1366 x 768,No,Windows 8,Intel HD Graphics 4000,Integrated Card,32 GB,500 GB,4 GB DDR3,4 cell/45Wh Lithium Polymer battery pack (not user replaceable),"Up to 4 hours, 30 minutes","13.4"" x 9.4"" x 0.82""",4.1 lbs.
