Title,Rating,Editor Rating,MSRP,Type,Processor Name,Processor Speed,Operating System,RAM,Graphics Card,Storage Capacity (as Tested),Storage Type,Screen Size,Resolution,Screen Type,Weight,Battery Rundown,PCMark7,PCMark 8 - Work Conventional,"3-D BENCHMARK TESTS - 3DMark06 - 1,024 x 768 - Default",3-D BENCHMARK TESTS - 3DMark06 - Native – 0X/4X,3DMark 11 Entry - 3D Benchmark Tests,3DMark 11 Extreme - 3D Benchmark Tests,3DMark - Cloud Gate,3DMark - Fire Strike Extreme,"Lost Planet 2 (DX9) - Middle quality - 1,024 x 768- AA/AF=Off/Off",Lost Planet 2 (DX9) - High quality - Native - AA/AF= 0X/4X,"Crysis - Medium quality - 1,024 x 768 - AA/AF=Off/Off",Crysis - High quality - Native - AA/AF= 0X/4X,"Heaven - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Heaven - Max quality - Native - AA/AF=4X/4X:,Heaven 4.0 - Medium Quality - 1366 x 768 - Off,Heaven 4.0 - Ultra Quality - Native - 4X,"Aliens vs. Predator - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Aliens vs. Predator - Max quality - Native - AA/AF=4X/4X,Valley 1.0 - Medium Quality - 1366 x 768 - Off,Valley 1.0 - Ultra Quality - Native 4X,Handbrake Multimedia Tests,Handbrake 0.9.9,CineBench 11.5 Multimedia Tests,CineBench R15,MULTIMEDIA TESTS - PhotoShop CS5,Photoshop CS6 Multimedia Tests,MobileMark 2007- Performance score,MobileMark 2007 – Standard Battery Productivity Load (hrs:min)
Sony Lifestyle PC (VGN-588EQ),3.50,good,1199.00," General Purpose, Ultraportable, Netbook", Intel Atom Z520, 1.33 GHz," Microsoft Windows Vista Home Basic, Microsoft Windows Vista Home Basic", 2 GB, Intel GMA 500, 64 GB,, 8 inches,, Widescreen, 1.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 53, 2:04
Falcon Northwest Mach V (Core i7-980X),4.00,excellent,4999.00, Gaming, Intel Core i7-980X, 4.18 GHz, Microsoft Windows 7 Home Premium, 12 GB, AMD Radeon HD 5970 CrossFire, 1080 GB,, 24 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer TravelMate 4062WLCi,3.50,good,900.00," Business, General Purpose, Value", Intel Pentium M 740, 1.73 GHz, MS Windows XP Professional, 512 MB, Intel GMA 900 GM, 80 GB,, 15.4 inches,, Widescreen, 5.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Precision M4600,,,1738.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Air 13-Inch (2015),4.00,excellent,999.00, Ultraportable, Intel Core i5-5250U, 1.6 GHz, Apple OS X El Capitan, 4 GB, Intel HD Graphics 6000, 128 GB, Flash storage, 13.3 inches, 1440 x 900, Widescreen, 2.96 lbs, 17:36,,,,,,,,,,,,,,, 16, 7,,, 16, 6,, 2:49 min:sec,, 257,, 5:13 min:sec,,
Sony VAIO VGN-FJ Series (FJ180),3.50,good,1599.00, General Purpose, Intel Pentium M 750, 1.86 GHz, MS Windows XP Home, 512 MB, Intel GMA 900 GM, 100 GB,, 14.1 inches,, Widescreen, 5.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO Tap 20 (SVJ20215CXW),3.00,good,999.99," All-in-one, Touchscreen All-In-One", Intel Core i5-3317U, 1.7 GHz, Microsoft Windows 8, 4 GB, Intel HD Graphics 4000, 750 GB,, 20 inches, 1600 x 900,,,,,,,, 1098 hrs:min,,,,,,,,,,,,,,,, 2:53 min:sec,, 2.4,,,,,
Acer TravelMate 290LMi,3.00,good,1499.00,,, 1.3 GHz,, 512 MB,, 40 GB,, 15 inches,,, 6.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujitsu Lifebook U772,4.00,excellent,1679.00," Ultraportable, Business, Consumer Ultra-Low Voltage, Ultrabook", Intel Core i7-3667U, 2 GHz, Microsoft Windows 7 Professional, 4 GB, Intel HD Graphics 4000, 128 GB,, 14 inches, 1366 x 768, Widescreen, 3 lb,,,, 5282, 2809,,,,, 16.5, 7.2, 14,,,,,,,,,, 1:45 min:sec,, 2.95,, 4:15 min:sec,, 377, 7:04
MicronPC Millennia XP+ Dream Machine,4.00,excellent,2699.00,,,,, 256 MB,, 100 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Eee Box PC,3.50,good,350.00," Mainstream, Value", Intel Atom N270, 1.6 GHz, MS Windows XP Home, 1 GB, Intel GMA 950, 80 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
