ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
0,sony lifestyle pc (vgn-588eq),sony, intel atom z520,1.33,intel," microsoft windows vista home basic, microsoft windows vista home basic", 2 gb, intel gma 500,64 gb,8,,,1.4
1,falcon northwest mach v (core i7-980x),falcon, intel core i7-980x,4.18,intel, microsoft windows 7 home premium, 12 gb, amd radeon hd 5970 crossfire,1080 gb,24,,,
2,acer travelmate 4062wlci,acer, intel pentium m 740,1.73,intel, ms windows xp professional, 512 mb, intel gma 900 gm,80 gb,15.4,,,5.9
3,dell precision m4600,dell,,,,,,,,,,,
4,apple macbook air 13-inch (2015),apple, intel core i5-5250u,1.6,intel, apple os x el capitan, 4 gb, intel hd graphics 6000,128 gb,13.3,1440,900,2.96
5,sony vaio vgn-fj series (fj180),sony, intel pentium m 750,1.86,intel, ms windows xp home, 512 mb, intel gma 900 gm,100 gb,14.1,,,5.1
6,sony vaio tap 20 (svj20215cxw),sony, intel core i5-3317u,1.7,intel, microsoft windows 8, 4 gb, intel hd graphics 4000,750 gb,20,1600,900,
7,acer travelmate 290lmi,acer,,1.3,,, 512 mb,,40 gb,15,,,6.3
8,fujitsu lifebook u772,fujitsu, intel core i7-3667u,2,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 4000,128 gb,14,1366,768,3
9,micronpc millennia xp+ dream machine,micronpc,,,,, 256 mb,,100 gb,,,,
10,asus eee box pc,asus, intel atom n270,1.6,intel, ms windows xp home, 1 gb, intel gma 950,80 gb,,,,
11,toshiba satellite p775d-s7144,toshiba, amd a8-3520m,1.6,amd, microsoft windows 7 home premium, 6 gb, amd radeon hd 6620g,750 gb,17.3,1600,900,6.6
12,sony vaio vpc-eg16fm,sony, intel core i5-2410m,2.3,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,640 gb,14.1,1366,768,4.9
13,sony vaio vgc-ra820g,sony,,,, ms windows xp media center edition 2005, 1 gb, amd radeon x300,200 gb,20.1,1600,1200,
14,apple imac 27-inch (thunderbolt),apple, intel core i5-2400,3.1,intel, mac os x 10.6, 4 gb, amd radeon hd 6970,1000 gb,27,2560,1440,
15,hp vectra vl800 mt,hp,,,,, 256 mb,,25 gb,,,,
16,asus eee pc 1015b,asus, amd c-30,1.2,amd," microsoft windows 7 starter edition, microsoft windows 7 starter edition", 1 gb, amd radeon hd 6250,250 gb,10.1,1024,600,2.8
17,compaq evo workstation w4000,compaq,,,,, 1 gb,,114 gb,,,,
18,lenovo thinkpad z60t,lenovo, intel pentium m 750,1.86,intel, ms windows xp professional, 512 mb, intel gma 900 gm,80 gb,14.1,,,5.1
19,asus k52f-a1,asus, intel core i3-370m,2.4,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,15.6,,,5.8
20,lenovo thinkstation e30,lenovo,,3.2,,, 4 gb,,500 gb,,,,
21,fujitsu lifebook n6010,fujitsu,,3.2,, ms windows xp home, 1 gb, amd mobility radeon 9700,100 gb,17,,,10.1
22,polywell poly 976n4-sli4 quad sli,polywell, intel core 2 extreme x6800,2.93,intel, ms windows xp professional, 2 gb, nvidia geforce 7950 gx2 quad sli,300 gb,30,,,
23,toshiba satellite pro l300d-ez1003x,toshiba, amd turion 64 x2 tl-62 mobile,2.1,amd, ms windows xp professional, 2 gb, amd adeon x1250,160 gb,15.4,,,5.68
24,cyberpower gamer ultra 8500 se,cyberpower, amd athlon 64 x2 6000+,3,amd, microsoft windows vista home premium, 1 gb, nvidia geforce 8600 gt,320 gb,19,,,
25,viewsonic viewbook 730,viewsonic,,1,, google android 2.3 or earlier,,,8 gb,7,,,15.2
26,sony vaio vpc-f136fm/b,sony, intel core i7-740qm,1.73,intel, microsoft windows 7 home premium, 6 gb, nvidia geforce gt 425m,640 gb,16.3,1600,900,6.5
27,asus eee top 1602,asus, intel atom n270,1.5,intel, ms windows xp home, 1 gb, intel gma 950,160 gb,15.6,,,
28,sony vaio vgn-s150,sony,,1.6,, ms windows xp home, 512 mb, amd radeon 9200,60 gb,13.3,,,4.2
29,best buy offers wide-screen dvd in a notebook,best,,2,, ms windows xp home, 512 mb, nvidia geforce4 420 go,40 gb,15.2,,,6.4
