product_name,num_of_words,total_str_len,avg_word_len,fraction_capitalized,num_of_non-Eng_words,num_of_digits,word(s)_with_uppercase_letters,starts_with_brand,paranthesis,)_in_last_word,\w-\w_end,\w-\w_second,\d_end,contains_year,contains_inch_info,contains_core_info,starts_with_i,concatenated_words,keywords_downstream,is_was_downstream,(_downstream,$_downstream,the_upstream,",_or_._after_string",\w-\w_downstream,label
Apple iPad,2,9,4.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
HP Envy X2 or Acer Iconia,6,20,3.3333333333333335,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Acer Cloudbook,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dell Latitude,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Intel Core i5-2400S,3,17,5.666666666666667,1.0,1,5,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Vizio 27-inch All-in-One Touch PC,5,29,5.8,1.0,2,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
MSI GS60 Ghost,3,12,4.0,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcon Northwest Mach,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Lenovo did,2,9,4.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple MacBook Pro,3,15,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
PC world,2,7,3.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Acer Aspire M3970G-UW10P,3,22,7.333333333333333,1.0,1,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Apple iMac (Nvidia GeForce GT,5,25,5.0,0.75,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"Asus VivTab Smart, the",4,19,4.75,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"Microsoft Security Essentials, which",4,33,8.25,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Falcon NW PCs, there",4,17,4.25,0.6666666666666666,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Intel Core,2,9,4.5,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
