product_name,num_of_words,total_str_len,avg_word_len,fraction_capitalized,num_of_non-Eng_words,num_of_digits,word(s)_with_uppercase_letters,starts_with_brand,paranthesis,)_in_last_word,\w-\w_end,\w-\w_second,\d_end,contains_year,contains_inch_info,contains_core_info,starts_with_i,concatenated_words,keywords_downstream,is_was_downstream,(_downstream,$_downstream,the_upstream,",_or_._after_string",\w-\w_downstream,label
Disney Netpal by ASUS,4,18,4.5,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Dell Mini Nickelodeon Edition,4,26,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2Go Classmate PC E10,4,17,4.25,1.0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2Go Classmate PC E10,4,17,4.25,1.0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2Go Classmate PC E10,4,17,4.25,1.0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Dell Mini Nickelodeon Edition,4,26,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Disney Netpal by ASUS,4,18,4.5,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2Go Classmate PC E10,4,17,4.25,1.0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
HP Mini 110-1134CL,3,16,5.333333333333333,1.0,1,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Toshiba mini NB205,3,16,5.333333333333333,0.5,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HP Mini 5101,3,10,3.3333333333333335,1.0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2Go Classmate PC E10,4,17,4.25,1.0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
