id,song_title,artists,year
357564,who knows,avril lavigne,2004
224040,cry,johnny logan,0
801827,springtime in my heart,kim weston,0
241086,cooler than me,mike posner,2010
944347,lend your love to me tonight,greg lake,1977
108273,flipper blues,flipper,0
113146,oh my god (feat. sat l'artificier),40 cal,0
508049,pretty please (as made famous by estelle),hip hop hitmakers,0
134341,let's womble to the party tonight,wombles,2000
300419,hematidrosis (album version),with blood comes cleansing,2008
362572,resurssikysymys,cmx,2007
579325,cloud of decay,astrosoniq,2009
639933,the old man's tree,seyminhol,0
413567,underneath my skin,suncatcher featuring aneym,0
775175,bright lights big city,tina britt,1968
78459,the ten commandments of love,peaches & herb,0
255288,gas station hair,up up down down left right left right b a start,2007
946070,wading through a ventilator,the soft boys,1989
333087,remixing in the block (with dena),1000names,2009
351793,one bass hit,dizzy gillespie,1957
61089,guardian angel,m,0
466928,working too hard,the breakaways,0
726679,plague to end all plagues,evile,2009
389963,jetfighter,steve diggle,2005
617437,olodum mare,olodum,0
563631,double violin concerto in d minor_ i. vivace,camerata brasil,0
42600,island lady,rick james,1980
308469,orbit,jesse cook,1995
487910,stile,hazard,2002
439421,bunte blätter for piano_ op. 99/no. 5 (1838),arcadi volodos,0
513145,make it work,25 ta life,1997
558871,sneaking in,john swihart,0
441225,rita lynn,steve johnson,0
351052,pasilda,afro medusa,2000
573502,solid brown,sebadoh,2007
929079,history,massiv in mensch,2006
679462,the weekend 2009,tango & cash,0
782922,this is not the original dream,beautiful sin,2006
933284,santa cruz (you're not that far),the thrills,0
500408,resort to the beat,dutch master,0
776325,the power of you,visions,0
399923,sexy bitch (featuring akon; abel ramos atlanta with love mix remix; explicit),david guetta - akon,0
919475,too blessed to be stressed,dorothy norwood,0
741085,all over,john holt,0
725747,vendetta michoacana,la tradicion del norte,0
822406,i don't care,king changó,2000
541167,villancico,ska-p,1998
22553,unholy outburst #3,ramesses,2005
384250,beautiful face,moev,1990
282518,pop muzik (album version),buck brothers,0
893046,beatific vision,this moment,0
436813,hot chicks & hell queens (us22k0707702),brain police,0
589942,time has been going by so fast (album version),jonathan richman,2008
601686,you can't do that,the beatles revival band,0
503610,soapy water,time,0
166617,help,rose royce,1978
510546,henkersbraut,subway to sally,1999
706032,twende vossi,waldemar bastos,2008
622081,unaware,it hugs back,2009
343561,yo le le (fulani groove),youssou n'dour,2002
322252,4 elements 2000,gaia,0
272510,joint,massimiliano mascaro,0
36434,donde,fania all stars,0
31493,shakin' all over,johnny kidd & the pirates,1960
858021,screamin' and hollerin' the blues,charley patton,1929
949557,wasted sacrifice (album version),killswitch engage,2004
11209,minnesota,serengeti,0
712003,the band played waltzing matilda,tommy makem & liam clancy,1986
667426,till you get enough (remastered mono single version),the watts 103rd. street rhythm band,0
137416,ball til' we fall (feat. killa tay),c-bo_ killa tay,0
851753,all about you [luca cassani dub] [edit],havana funk,0
849350,only you (radio edit),jan wayne,2002
641877,reprise - organ,zbigniew preisner,1993
168203,four winds (album cut),space march,0
853563,grand finale,lil jon / the east side boyz / nas / t.i. / bun b / ice cube / jadakiss,0
470456,endless masturbation,peace love & pitbulls,1994
834045,dear friend,barbara cook,0
516171,galupa,geoffrey gurrumul yunupingu,2008
463052,i believe in you (1997 digital remaster),talk talk,0
421895,class clown,mike birbiglia,0
524615,future blues,canned heat,1970
624022,suicide and mania,primal fear,2004
327368,1_ 2 (clean version),slum village,0
465198,to our savior,midtown,2004
419095,nicht allein,thomas godoj,2009
771034,shirt no.7,durutti column the,0
747479,comin' thru the rye,billy may & his orchestra,0
188173,kuhkaff or no return,pascow,0
671057,washout,stereoheroes,0
378689,rome,(we are) performance,2007
762226,bobagi,ottavo padiglione,2003
274629,get a little freaky with me,aaron hall,1993
508609,looking back,clarence 'frogman' henry,1994
241887,stars fell on alabama,frankie laine,0
537297,satin chic,goldfrapp,2005
51660,die liebe bleibt,klaus lage band,2003
422227,gangsters,the specials,1997
731560,doubt comes in,anais mitchell [feat. justin vernon],2010
30833,keep on jumpin',todd terry / martha wash / jocelyn brown,1996
809853,tied a förzerep,desperado,0
869297,he was worse than the needle he gave you,the delta mirror,0
902316,wolfgang amaedeus penguin - argentina,mannheim steamroller,1986
188682,overtura (allegro) - meno mosso e moderato - allegro - fuga,takács quartet,0
141569,meet me in the morning,bob dylan,1975
447892,billygoat,korby lenker,2006
646160,drink to me,scout niblett,2005
603191,dakota song,dave eggar,1998
936836,kill the king,megadeth,2000
775770,you've changed (lp version),hank crawford,0
333219,rakkauslaulu,aikakone,0
431325,geko,guy j,2008
871307,would if i could,the bar-kays,0
850640,volet fermé,dick annegarn,1974
161651,sidewinder,ass ponys,2000
97219,dominator,crux & brooklyn zoo vs. human resource,0
573932,every posse get ready,tonto irie,0
630935,malas costumbres,cadena perpetua,2003
245108,thought racism forms,hieronymus bosch,0
226213,lady marmalade,labelle (featuring patti labelle),0
288320,tonight (lp version),small faces,0
779673,guds vrede,kristet utseende,2006
270013,head like a hole (album version),still remains,0
158917,america (remastered from atomic ambition),wrecking crew,0
11475,so nice - layo & bushwacka! terrace mix,bebel gilberto,2000
653556,it makes a change,natalie merchant,2010
538519,calypso classics in pan (medley),byron lee & the dragonaires,0
538268,woman (2001 digital remaster),morris albert,1975
568636,everybody gets to play,the bear quartet,2000
845882,a white holocaust,chants of maldoror,2005
228889,neva get enuf (featuring lil' wayne),3lw,2002
579180,the feeling of now -thes one rmx (thes one remix),raw produce,0
940552,beauty vs facts,quest poetics,0
847479,travels,rick snel,0
578842,struggle,the last act,0
458659,steuerspar-model,urban priol,2007
165273,home again,hem,2007
486666,tombar-me al teu costat,xerramequ tiquis miquis,2006
7945,damn that radio [live],the wreckers,2007
294830,unconditional,rob rock,0
71312,not through with this yet,kath bloom,2010
730070,forget about you,dierks bentley,2003
603185,criminal,big b,2009
548878,nostalgia,el vira,0
905991,grit (album version),buzzov*en,0
609381,vous le vous,sones de oriente,0
794347,molly malone,the irish tenors,2002
919350,razor,night in gales,1997
509218,he can only hold her,amy winehouse,2006
450535,louder than hell,mötley crüe,1985
224765,i'm going to haunt you,sharleen spiteri,2008
654851,dark days_ white lines,honeycut,2006
655139,sync or swim - breakshop studios remix (artemis),magnatune compilation,0
809830,darker shade of black,jackie mittoo,2000
494348,the whipping - album version,cindy morgan,0
218585,last train home,pat metheny group,1987
345938,maria viene del mar,seguridad social,2005
662708,wheels of fortune (album version) (2006 remastered),the doobie brothers,0
809078,junior got a blade,gwyn ashton,0
63570,chancre sore,mushroomhead,1996
746231,jueguete de nadie,puerto rican power,0
622620,flight of the owl,fly my pretties,2005
770176,the kübler-ross model,matt elliott,2008
101066,get down & get live!,jon kennedy & mr eyez,0
762707,orange colored sky,betty hutton,1998
708170,sto baraki,angela dimitriou,0
122659,chertograd,deathstars,2009
225935,la migra,la pulqueria,2004
752077,gerald and the gliders,6 day riot,0
494803,knock on wood,guy sebastian,2007
551938,better than beautiful (album version),jeb loy nichols,2002
633422,babylon boops,major worries,2000
737594,dance to the music,sly & the family stone;will.i.am,0
182001,delete the dancefloor,highpersonic whomen,0
458577,closed eyes,the inchtabokatables,2001
942468,skjut dom som älskar,olle ljungström,1994
566485,one,corey glover,1998
706353,it's raining men,the weather girls,1982
248342,this one's for you,of mice and men,0
602699,ladies (and gentlemen),slavic soul party!,2007
261294,soverato,minus 8,2004
63856,golgotha,embodyment,0
180646,sofia (lime chillout remix),west indian girl,0
653624,all the way,gloria lynne,0
225047,long lonely road,secretions,2005
617013,el viaje definitivo,carmen linares,0
299122,latin can can,chakachas,1972
731741,foreign country,mission of burma,1990
618825,the fun of the century,piano magic,1999
5129,hatesex (reborn),hatesex,0
678385,descend,the violets,0
648182,overture (album version),bad religion,2004
867490,desert cantos,early day miners,2001
348845,seasons change,cas metah,0
87518,bea,dilute,2002
784298,desolada,max corbacho,0
121221,morgen,sia & sayse,0
113003,strange brew,jon lord with the hoochie coochie men,0
619722,burning with a reason,jim peterik,0
545800,dope! (aka she's dope!),bell biv devoe,2002
775639,never existed before,minnie riperton,1979
314140,in love in vain,nina simone,1970
813536,all about housemusic,yves murasca,2008
423,plenty,sarah mclachlan,1993
774531,the moon,awesome color,2008
399272,fabula dub,master margherita,0
294248,commemorative transfiguration and communion at mag,john fahey,1999
619126,falling to pieces,faith no more,1989
922248,monkeymand,kim larsen,0
430640,apollo,hum,1997
948597,hard school,last exit,1990
521956,want me back,oschino / sparks / young chris / freeway,0
310881,give a little love,albert hammond;albert west,1995
607348,liebe,trance control,0
859786,hala lalla,sukshinder shinda,2006
934907,chevrolet verde blanc,up_ bustle & out,0
312833,sommer_ sonne_ strand und meer,sondaschule,0
113866,processional (moostarr remix),recloose,0
422776,radio edit,krause,2009
633871,let's stay together,edwin starr,1969
604847,watching mr. brownlow's house,rachel portman,2005
242196,it's not over,liam lynch,0
21567,human black box. (album),sybreed,0
342861,elegant,brett anderson,0
920658,i'm goin' back (judy holliday),judy holliday,0
822487,juro,margie bermejo,0
904165,mr. dowerdown (mega dower mix),frank zander,0
739454,oh_ love that will not let me go (feat. audrey assad),robbie seay band featuring audrey assad,0
325834,run wild,the black box revelation,2010
713259,perfect girl,don juan dracula,0
211256,what wondrous love is this/jesus_ lover of my soul (medley) (just as i am album version),andy griffith,0
9467,blowing the blues,blind boy fuller & sonny terry,2003
858692,hurricane,kurt elling,0
300258,the long wait,styrofoam,2003
699022,a foreign place,japan,1984
10624,gurus for sale,missus beastly,0
960053,fast times (the best years of our lives) (lp version),billy squier,0
411798,shake your,sharam jey,2003
172243,silent distance,clara hill,2004
511372,omaggio a burri,alter ego,0
420399,the stallion,ween,1991
285339,other evasions,near the parenthesis,2006
797510,l'ile invisible,deep forest,2000
857232,she's in disguise,thee headcoats,1996
554803,boom! there he is,m.c. luscious,0
396839,same struggle,prince ali,2007
774508,keep it gangsta (edited),mack 10,2000
14120,the same song,the paragons,0
337137,she had the world [alternate version],panic at the disco,0
558766,23,god lives underwater,1995
222181,too much,blind passengers,1993
217566,as smart as geek is chic right now (album version),say hi to your mom,2005
809869,tear it down,godgory,1997
172559,wine (remastered version),charles wright & the watts 103rd. street rhythm band,0
260889,awakening,secret garden,2002
831913,i am your guru,befour three o'clock,0
813570,finlandia op. 26,philharmonia orchestra/paavo berglund,0
120130,por lo que fuimos,roberto jordan,0
530943,tongues,lycia,1998
365624,animal,anti-nowhere league,1983
375814,mil veces lloro,alejandro lerner,0
885196,¿a dónde iré sin ti?,los gigantes del vallenato,0
654791,where do i begin? (album version),idina menzel,2008
612786,party time,f.l.y. (fast life yungstaz) / band geakz,0
765473,144/0031,articolo 31,1994
852035,hare lipped bust,ham1,2007
108529,the desert song,la mia bocca,0
725585,confined,mesh,0
467918,you first (album version),lenny leblanc,0
399145,in my dreams,u-piter,0
398325,u can go,envoy,0
126210,walbaby,captain planet,2009
439077,autorail,orchestra baobab,1993
62358,gotham city,sexion d'assaut,2009
480464,south london aggro girl,the gonads,2008
44725,loretta's tale,cockney rebel,1990
797583,foreign language (blueprints for the black market album version),anberlin,2003
180577,she's funny that way,nat king cole,1989
705938,roma-barcelona,fermin muguruza,2008
571223,ominous cloud,broadcast,2003
302913,living out a dream,muriel anderson,0
250619,zombie,elena,0
623617,are you just scared?,big d and the kids table,2000
219852,mystery repeats,pete philly & perquisite,2007
885745,ne season,natural elements,0
598623,don't do me,it's a beautiful day,0
562084,let freedom reign - original,count ossie,1994
851919,blast off,cipher,0
94699,walkin' the floor over me,alan jackson,1991
249717,les yeux ouverts (dream a little dream of me),emilie-claire barlow,2007
628028,acojonante (live),de saloon,2006
645754,coldblooded discharge,whatever it takes,0
690120,my little ukelele,the rutles,1996
335323,rhumba blues,nat king cole,2003
212489,love can't get u wrong (feat. angie),dim chris,0
828479,no snakes alive,king geedorah,2003
867285,samples,2tall,0
761651,anytime_ anyplace (the pleasure),rene froger,0
336761,if we never meet again,rose maddox,0
521072,bonded by blood (a song for two brothers),hot club de paris,2006
83314,waverider,chi-ad,0
138019,pirates in the 9th,mathew jonson,2010
329718,tiger tails,moonbootica,2003
773673,double thanks,rings,2008
269063,hit the break,earth (sangeet),2000
553307,really love the man,dana gillespie,0
49658,god vs god,death angel,2008
326106,because i love you,groove coverage,2007
339696,the grocery store,rappy mcrapperson,0
466317,super thick,g.r.i.t.s.,0
509546,il sogno di una cosa,stefano battaglia,2007
129112,black & green,razors edge,0
863364,the southern cross,captain tractor,2000
17770,yours,mcbride & the ride,2005
574310,(it ain't necessarily) byrd avenue,spanky & our gang,0
288410,together in silence,saafi brothers,1997
515431,midnight and martinis,emma bunton,2007
874786,caltone special,tommy mccook,2004
735422,rueda de fortuna,emilio navaira,1992
