_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists,gold_labels
558,454747,944347,lend your love to me tonight,1982.0,greg lake+pete sinfield+emerson lake+palmer,lend your love to me tonight,1977,greg lake,1
3144,483864,61089,sweet little angel,1998.0,big mama thornton,guardian angel,0,m,0
3153,708024,61089,angel face,1965.0,maurizio graf,guardian angel,0,m,0
6056,632937,741085,rockin all over the world,2003.0,john fogerty+status quo,all over,0,john holt,0
6156,719325,741085,all night love,1984.0,john baer,all over,0,john holt,0
14218,586324,509218,he can only hold her,2011.0,charles harper+john harrison+robert pointdexter+richard poindexter+amy winehouse,he can only hold her,2006,amy winehouse,1
14393,55798,224765,im gonna haunt you,2007.0,sharleen spiteri,i'm going to haunt you,2008,sharleen spiteri,1
15119,30374,218585,last train home,2006.0,pat metheny,last train home,1987,pat metheny group,1
18292,411370,261294,soverato (0815 edit),2010.0,robert jan meyer+minus 8,soverato,2004,minus 8,1
21301,635679,423,plenty,2015.0,sarah mclachlan,plenty,1993,sarah mclachlan,1
31438,484602,690120,my life,2008.0,ayreon the don,my little ukelele,1996,the rutles,0
39375,724546,696588,you are the one i love,1933.0,leroy shield,love in the morning,0,leroy sibbles,0
40461,428399,958721,sweet talkin woman,1978.0,jeff lynne+electric light orchestra,sweet talkin' woman,1977,electric light orchestra,1
43322,731778,172660,the sun,1970.0,mejla hlavsa+plastic people of the universe,winter sun,1997,out of the grey,0
43400,315507,690795,let it go,2006.0,james bay,let it go,2006,boney james,0
43571,152857,158705,break on through (to the other side),1984.0,john densmore+robby krieger+ray manzarek+jim morrison+the doors,break on through [to the other side] (live in detroit) (2006 remastered lp version),0,the doors,1
53299,360060,322898,shes a hum dum dinger,1971.0,jimmie davis,shes a hum dum dinger(from dingersville) pt 2,0,jimmie davis,1
53311,517594,679231,god dont never change,1997.0,blind willie johnson+arrangement with sony music licensing,god don't never change,1989,blind willie johnson,1
56159,521128,632735,white  discussion,2003.0,live,white_ discussion,1994,live,1
59321,460932,470206,estranged,1992.0,guns n roses,estranged,1991,guns n' roses,1
62660,680388,781079,tears,1989.0,frankie knuckles,tears (classic vocal),0,frankie knuckles presents satoshi tomiie,1
62784,656995,356383,hang on sloopy,1991.0,wes farrell+bert berns+the mccoys,hang on sloopy,1965,the mccoys,1
63680,627315,132827,fable,1996.0,robert miles,fable,1996,robert miles,1
64432,527491,823591,flash in the night,2008.0,tim norell+björn håkanson+secret service,flash in the night,1982,secret service,1
66527,655875,322762,be-bop-a-lula,1989.0,gene vincent   / tex davis+gene vincent+his blue caps  (as gene vincent+his blue caps),be-bop-a-lula,1980,gene vincent,1
73235,684923,765109,there is a light that never goes out,1992.0,johnny marr+morrissey+the smiths,there is a light that never goes out,2005,morrissey,1
74419,79675,640,baby come back,2000.0,j.c. crowley+peter beckett+player,baby come back,1978,player,1
79640,236197,194396,cindy,1960.0,andy griffith+ron howard+joanna moore,cindy (digitally remastered 93),0,andy griffith,1
81515,730155,314667,lilacs in the rain,1948.0,peter de rose,i am the rain,2009,peter doherty,0
89273,716864,167808,hey tomorrow,2016.0,jim croce,hey hey,2002,jim stärk,0
99782,363546,561877,anti body,1995.0,fetish 69,flexy body,0,69,0
101158,695886,837206,untitled,1936.0,harry warren,untitled,1996,harry pussy,0
101668,454176,880857,serenity,2004.0,godsmack,serenity,2003,godsmack,1
106896,279402,569176,tuesday heartbreak,1992.0,stevie wonder+macy gray,tuesday heartbreak,1972,stevie wonder,1
109118,721989,41626,minnie the moocher,1937.0,cab calloway,minnie the moocher,1954,cab calloway,1
110244,689286,405330,at battles end,2011.0,lisa forseth,the end,0,lisa gerrard,0
113791,287147,378919,wherever you will go,2004.0,alex band+aaron kamin+the calling,wherever you will go,2001,the calling,1
114823,246156,315410,i (who have nothing),1964.0,jerry leiber+mike stoller+carlo donida+mogol+normie rowe,i (who have nothing),0,normie rowe,1
119746,437879,945146,illusions,2006.0,the panic channel,illusions,2004,the pharcyde,0
120263,464166,337619,cowboy cadillac,1981.0,michael martin murphey,cowboy christmas ball,1994,michael martin murphey,0
120318,627635,553129,perra enamorada,2009.0,mogol+lucio battisti+mónica naranjo,enamorada,2005,monica naranjo,0
123188,730816,657520,police & thieves,1991.0,junior murvin,police & thieves,1979,junior murvin,1
123842,212306,556665,the sun is an old friend,2011.0,el perro del mar,the sun is an old friend (album version),2008,el perro del mar,1
131908,449319,726653,love me,2010.0,the cramps,love these hands,1990,the northern pikes,0
134304,719651,558829,small town,2004.0,john mellencamp,small hours,1977,john martyn,0
138298,114797,829889,birthday sex,2010.0,jeremih,birthday sex,2009,jeremih,1
138383,729899,665340,breadline blues,1990.0,dave grusin+kenny g,monday mornin' blues,0,dave fletcher,0
138641,630270,297897,give me back my wig,2004.0,theodore roosevelt taylor,give me your change,0,roosevelt sykes,0
140590,495540,374559,opening titles,1993.0,john williams,opening titles (jurassic park/soundtrack version),0,john williams,1
141722,313551,617830,fencewalk,2016.0,mandrill,fencewalk,1973,mandrill,1
146607,559540,252688,if this is love,2014.0,the precisions,what love is this,2003,the bad plus,0
150013,629582,330588,all i have to do is dream,1988.0,felice bryant+boudleaux bryant+the everly brothers,all i have to do is dream,0,everly brothers,1
150248,444839,908827,flaming doo,2007.0,alan silvestri,flaming doo,1997,alan silvestri,1
151432,214392,469563,kinda new,2007.0,spektrum,kinda new (tiefschwarz dub),0,spektrum,1
152265,638056,306169,get on the good foot,2015.0,james brown,get on the good foot,0,james brown,1
152923,674053,164986,the customer is always right,1952.0,the modernaires,the song is ended,1998,the mills brothers,0
154496,723769,338104,the whores hustle and the hustlers whore,2011.0,pj harvey,the whores hustle and the hustlers whore,2000,pj harvey,1
157021,365390,794108,new in town,2009.0,little boots,new in town [no one is safe - al kapranos remix],2009,little boots,1
158010,492604,277630,come around,2007.0,mental as anything,come around,1980,mental as anything,1
160003,532358,899486,embry threatens,2004.0,clint mansell,embry threatens,2002,clint mansell,1
162974,700104,944525,the iron lady,2014.0,john wells+janet brown,lady,0,john berry,0
165901,723721,738964,i believe in the good of life,2005.0,the hidden cameras,war of life,0,the sick,0
165930,484602,738964,my life,2008.0,ayreon the don,war of life,0,the sick,0
170252,58407,780701,i play chicken with the train,2005.0,cowboy troy,i play chicken with the train (album version),0,cowboy troy (featuring big & rich),1
172384,346782,884405,all through the night,2014.0,keith bear,all night (album version),1991,keith washington,0
178881,711328,330321,i la-la-la love you,1983.0,pat travers,you don't love me,1977,pat travers,0
182506,281329,617130,elephants instrumental,2009.0,rachael yamagata,elephants (album version),0,rachael yamagata,1
185310,532816,408400,walk me to the bridge,2014.0,james dean bradfield+nicky wire+sean moore+manic street preachers,put the wood to her,0,tree,0
189015,302070,431795,love cant turn around,1964.0,farley jackmaster funk,love can't turn around (i can't turn around),0,jackmaster' funk farley,1
192972,721382,55536,house of the rising sun,2015.0,the animals,the coat of arms,2006,the brother kite,0
198684,730821,532941,this is the first time,2011.0,truly smith,the lady is a tramp,0,tommy smith,0
200248,193196,513296,love you better,2009.0,the maccabees,love uprising,1971,the chi-lites,0
205072,177761,775981,older guys,2010.0,chris hillman+bernie leadon+gram parsons+the flying burrito brothers,older guys,1970,the flying burrito brothers,1
207615,51739,590514,28 butts ,2005.0,little jackie,28 butts (explicit),2008,little jackie,1
209071,719396,47772,last christmas,2015.0,the bosshoss,last one standing,0,the feminists,0
211502,486527,19190,musetto,1958.0,domenico modugno,musetto,1987,domenico modugno,1
211934,720059,687509,rock and roll mcdonalds,2008.0,wesley willis,i'm the daddy of rock and roll,1997,wesley willis & the dragnews,0
212826,654938,166678,lullaby (live at wembley arena),1991.0,the cure,lullaby,1989,the cure,1
214279,160995,855842,einfach sein,2010.0,die fantastischen vier,einfach sein,2007,die fantastischen vier,1
219151,415587,199770,il primo bacio che darò,1966.0,federico monti arduini+gigliola cinquetti,il primo bacio che darò,1983,gigliola cinquetti,1
220202,356285,265727,super loser,2006.0,japanther,super loser,2003,japanther,1
220824,721382,673929,house of the rising sun,2015.0,the animals,fingers of the sun,1967,the fugs,0
220840,670123,673929,dont look back into the sun,2011.0,the libertines,fingers of the sun,1967,the fugs,0
224619,88991,739710,un año más,1963.0,ana torroja,un año mas,2006,ana torroja,1
225689,639107,298766,try (just a little bit harder),2009.0,jerry ragovoy+chip taylor+janis joplin,try (just a little bit harder),1969,janis joplin,1
229040,723560,78047,proud mary,1978.0,john fogerty+creedence clearwater revival,proud mary,1969,creedence clearwater revival,1
236426,341110,17709,string quartet no. 1 movement 2 minuet trio,2004.0,mark thomas,movement,0,mellow mark,0
236679,687776,803221,no beliefs no reliefs,2006.0,,no one,0,cece winans,0
245005,305017,556190,rebirth got fire,2010.0,rebirth brass band,fire,0,rebirth brass band,0
251694,575920,613544,something happened on the way to heaven,1990.0,phil collins+daryl stuermer,something happened on the way to heaven (live),1990,phil collins,1
251976,624143,600952,the price you gotta pay to be free,1971.0,les mccann+eddie harris,the price you pay,1981,emmylou harris,0
254960,302965,13993,its like that,1964.0,run-dmc vs. jason nevins,it's like that,1984,run-dmc vs. jason nevins,1
255467,586369,426292,never say never,2016.0,the fray,never be lonely,2006,the feeling,0
260427,589884,262351,in the name of love,1986.0,steve dorff+phil brown,i'm convicted of love,0,roy brown,0
261611,605403,322874,walking on the moon,2001.0,daniel may,on the moon,2009,daniel wang,0
262996,663993,511955,word up,2016.0,cameo,word up,1986,cameo,1
264237,302228,779814,unbearable,1964.0,the wonder stuff,unbearable,1988,the wonder stuff,1
266112,393118,424905,there is a god in you,2010.0,ramin djawadi,there is a god in you,2010,ramin djawadi,1
270224,726383,725446,every day can get you down,2014.0,john schoolery,can you take it,1982,john mellencamp,0
273339,614623,335356,good life,1990.0,kevin saunderson+paris grey+roy holman+inner city,good life (unity remix),1993,inner city,1
277086,731765,802173,im sitting on top of the world,1983.0,ray henderson+norman brooks,the real world,0,ray davies,0
277692,730810,654250,time is moving on,1991.0,the blackbyrds,on time (featuring tuphace),0,the disco biscuits,0
