_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists
340,457485,241086,cooler than me,2013.0,mike posner+big sean    / eric richard holljes / mike posner,cooler than me,2010,mike posner
558,454747,944347,lend your love to me tonight,1982.0,greg lake+pete sinfield+emerson lake+palmer,lend your love to me tonight,1977,greg lake
3075,492493,351793,one bass hit,1946.0,ray brown+gil fuller+dizzy gillespie+his orchestra,one bass hit,1957,dizzy gillespie
3139,729591,61089,angel,1945.0,harry warren+lucille bremer  ) to herself,guardian angel,0,m
3144,483864,61089,sweet little angel,1998.0,big mama thornton,guardian angel,0,m
3153,708024,61089,angel face,1965.0,maurizio graf,guardian angel,0,m
3897,493017,558871,starwood in aspen,2013.0,john denver,sneaking in,0,john swihart
4983,694431,500408,move up to the country,2009.0,dutch mason,resort to the beat,0,dutch master
5955,490675,399923,sexy bitch,2010.0,david guetta  )+david guetta+jean-claude sindres+sandy vee,sexy bitch (featuring akon; abel ramos atlanta with love mix remix; explicit),0,david guetta - akon
6056,632937,741085,rockin all over the world,2003.0,john fogerty+status quo,all over,0,john holt
6156,719325,741085,all night love,1984.0,john baer,all over,0,john holt
7457,372236,858021,screamin and hollerin the blues,1993.0,charley patton,screamin' and hollerin' the blues,1929,charley patton
8709,650058,524615,bullfrog blues,1997.0,canned heat,future blues,1970,canned heat
9996,721874,422227,gangsters,2002.0,jerry dammers+the specials,gangsters,1997,the specials
10124,95052,30833,keep on jumpin,2007.0,todd terry,keep on jumpin',1996,todd terry / martha wash / jocelyn brown
10151,51262,869297,he was worse than the needle he gave you,2010.0,the delta mirror,he was worse than the needle he gave you,0,the delta mirror
10415,630231,141569,meet me in the morning,2015.0,bob dylan+arrangement with sony music licensing,meet me in the morning,1975,bob dylan
11215,726970,603191,the hunting song,1929.0,dave stamper,dakota song,1998,dave eggar
11923,718772,871307,if i didnt care,2013.0,the ink spots,would if i could,0,the bar-kays
14218,586324,509218,he can only hold her,2011.0,charles harper+john harrison+robert pointdexter+richard poindexter+amy winehouse,he can only hold her,2006,amy winehouse
14393,55798,224765,im gonna haunt you,2007.0,sharleen spiteri,i'm going to haunt you,2008,sharleen spiteri
15119,30374,218585,last train home,2006.0,pat metheny,last train home,1987,pat metheny group
16472,557611,225935,la meva gent,2010.0,la resistència,la migra,2004,la pulqueria
17634,55891,458577,blue eyes woman,2007.0,the go,closed eyes,2001,the inchtabokatables
17640,585034,458577,gary gilmours eyes,1977.0,the adverts,closed eyes,2001,the inchtabokatables
17888,622230,706353,its raining men,2014.0,paul shaffer+paul jabara+the weather girls,it's raining men,1982,the weather girls
18292,411370,261294,soverato (0815 edit),2010.0,robert jan meyer+minus 8,soverato,2004,minus 8
21301,635679,423,plenty,2015.0,sarah mclachlan,plenty,1993,sarah mclachlan
22027,435766,619126,falling to pieces,1990.0,faith no more,falling to pieces,1989,faith no more
23955,661001,9467,pontiac blues,1996.0,sonny boy williamson,blowing the blues,2003,blind boy fuller & sonny terry
25092,437160,960053,fast times (the best years of our lives),1982.0,billy squier,fast times (the best years of our lives) (lp version),0,billy squier
25710,719382,420399,the blarney stone,2004.0,ween,the stallion,1991,ween
26921,519855,14120,the cow song,2005.0,the mountain goats,the same song,0,the paragons
27155,134768,14120,the city,2009.0,the dismemberment plan,the same song,0,the paragons
28621,177502,375814,mil veces lloro,2005.0,alejandro lerner+david bolzoni,mil veces lloro,0,alejandro lerner
31438,484602,690120,my life,2008.0,ayreon the don,my little ukelele,1996,the rutles
35885,234641,641686,i hear you knocking,1948.0,david bartholomew+earl king+gale storm,i hear you knocking,1995,gale storm
39375,724546,696588,you are the one i love,1933.0,leroy shield,love in the morning,0,leroy sibbles
