movie_title,year,episode,song_title,artists
    the marty stuart show,2008.0,    emmy lou harris (#,    hearts like ours (album version),    connie smith
    wholl stop the rain,1978.0,    NaN,    gimme some lovin' (re-recorded),    steve winwood+muff winwood+spencer davis+the s...
    about last night...,1990.0,    NaN,    words into action,    mike leeson+peter vale+jermaine jackson
    vidas en vivo,2008.0,    NaN,    niños,    pedro guerra
    the go!! show,1964.0,    (#,    i (who have nothing),    jerry leiber+mike stoller+carlo donida+mogol+n...
    mc,1999.0,    NaN,    rocket reducer no. ,    mc
    better call saul,2015.0,    mijo (#,    boulevard of broken dreams,    esquivel
    electric light orchestra: out of the blue tour...,1978.0,    NaN,    sweet talkin' woman,    jeff lynne+electric light orchestra
    man on fire,2004.0,    NaN,    embry threatens,    clint mansell
    veronica mars,2004.0,    return of the kane (#,    still in love song (napsterlive version),    the stills
    miami vice,1988.0,    asian cut (#,    here it is  take it!,    that petrol emotion
    wwe no mercy,2005.0,    NaN,    save me [pull mix],    shinedown
    privileged,2008.0,    all about honesty (#,    post it,    the aluminum group
    grand theft auto v,2013.0,    NaN,    we roll deep (smooth radio remix),    the conscious daughters+carla m green+abdul-wa...
    de akí a ketama,1995.0,    NaN,    no estamos lokos (kalikeño),    antonio carmona+josé miguel carmona+juan carmo...
    deutschland sucht den superstar,2007.0,    mottoshow #,    (you make me feel like) a natural woman,    gerry goffin+carole king+jerry wexler+lisa bund
    new orleans,1947.0,    NaN,    west end blues,    steve oliver
    music nuggets,2010.0,    (,    einfach sein,    die fantastischen vier
    arc,2004.0,    NaN,    suite for toy piano,    john cage
    celtic woman,2005.0,    NaN,    orinoco flow,    celtic woman+órla fallon+lisa kelly  )
    the magic of david copperfield xiv: flying - l...,2005.0,    NaN,    lay your hands on me,    peter bradley adams
    san francisco rock: a night at the family dog,1970.0,    NaN,    the ballad of you and me and pooneil,    jefferson airplane
    soul to soul,1981.0,    NaN,    the price you gotta pay to be free,    les mccann+eddie harris
    stealth,2005.0,    NaN,    aqueous transmission,    brandon boyd+michael einziger+alex katunich+in...
    dont look now,1973.0,    NaN,    io per amore (,    pino donaggio
    don cornell sings,1952.0,    NaN,    some folks do and some folks don't,    guy manning+robert milton+june christy
    el crimen del padre amaro,2002.0,    NaN,    te odio,    rudy pérez+joel numa+pablo montero
    t.c.,2015.0,    NaN,    get on the good foot,    james brown
    honey,2003.0,    NaN,    closer,    goapele mohlabane+anthony anderson+michael aab...
    the vampire diaries,2009.0,    there goes the neighborhood (#,    love sick mistake,    erin mccarley
    justified,2010.0,    money trap (#,    not in iowa,    kelly pardekooper
    dignity: bonus dvd,2007.0,    NaN,    wake up,    hilary duff
    made in chelsea,2011.0,    je suis amoreuse de toi (#,    lloyd_ i'm ready to be heartbroken,    camera obscura
    secret diary of a call girl,2008.0,    (#,    b boy baby,    mutya buena+amy winehouse
    dominick and eugene,1988.0,    NaN,    truck drivin' son of a gun,    d. deen+r. king+dave dudley
    una canción me trajo aquí,2006.0,    NaN,    la mentira,    álvaro carrillo+ana belén
    fred claus,2007.0,    NaN,    flaming doo,    alan silvestri
    ed,2000.0,    home is where the ducks are (#,    baby come back,    j.c. crowley+peter beckett+player
    how to make it in america,2010.0,    unhappy birthday (#,    birthday sex,    jeremih
    live at the astoria,1995.0,    NaN,    just,    radiohead
    die hard with a vengeance,1995.0,    NaN,    off minor,    thelonious monk septet
    sinners,2004.0,    NaN,    fascinated (speedo mix),    company b
    qualquer gato vira-lata,2011.0,    NaN,    he can only hold her,    charles harper+john harrison+robert pointdexte...
    austin city limits,2005.0,    gretchen wilson/miranda lambert (#,    all jacked up,    john rich+vicky mcgehee+gretchen wilson
    bi no tsubo,2006.0,    ryokucha (#,    last train home,    pat metheny group
    top of the pops,1964.0,    (,    love can't turn around (i can't turn around),    jackmaster' funk farley
    bank roll,2012.0,    NaN,    stand alone,    bob marley
