_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists,gold_labels
7992,172624,543601,you will find me,2003.0,andrew ripp,we will rock you,0,andrew spencer,0
16183,634097,418130,sweet lover,1989.0,jack green+ian orkin,robot lover,0,jack oblivian,0
30794,392501,822820,in time,2015.0,find the others,in that number,0,the perrys,0
37332,611536,473233,over the hills and far away,1995.0,john tams,so far away,2004,john lord fonda,0
37484,723458,473233,carried away,2006.0,john dickson,so far away,2004,john lord fonda,0
42102,706895,766296,morning of the earth,2006.0,g. wayne thomas,child of the ghetto (album version),0,g. dep,0
46674,678831,511255,poor twisted me,2001.0,james hetfield+lars ulrich+metallica+arrangement with warner special products,poor twisted me,1996,metallica,0
51594,724999,150981,batman brät fische,1991.0,fm einheit,batman brät fische,1990,fm einheit,0
53247,690267,328251,love is a fire,2005.0,genya ravan+johnny vastano+vini poncia,love is a fire,1979,genya ravan,0
59804,722610,162594,no comprendo el dia,1999.0,jorge guerrero,el dia que me quieras,0,jorge negrete,0
66105,674639,754884,dawn of love,1935.0,william axt,all for the love of a woman,1997,william bell,0
66250,723209,754884,flower of love,1928.0,william axt+david mendoza,all for the love of a woman,1997,william bell,0
67756,146589,91005,your body is a machine,2011.0,the good natured,leave your body,1992,the grid,0
68843,172678,91005,your ghost,2003.0,the new amsterdams,leave your body,1992,the grid,0
68872,570856,91005,your money,2012.0,the indelicates,leave your body,1992,the grid,0
69058,83318,91005,your touch,2004.0,the black keys,leave your body,1992,the grid,0
69092,617610,91005,your shadow,2007.0,the exploding hearts,leave your body,1992,the grid,0
69290,231063,227686,map of the problematique,2010.0,matthew bellamy+muse,map of the problematique [live from wembley stadium],0,muse,0
73814,483947,349883,match box blues,1983.0,albert king+blind lemon jefferson,blues power,1968,albert king,0
74066,418267,531984,dagger through the heart,2004.0,dolly parton,dagger through the heart,2002,dolly parton,0
75955,216688,93753,no air,2005.0,jordin sparks+chris brown,no more walls,1991,dennis brown,0
76688,575903,36942,you cant hurry love,1985.0,lamont dozier  / brian holland   / eddie holland+phil collins,you can't hurry love  (lp version),0,phil collins,0
76689,729825,36942,you cant hurry love,1988.0,eddie holland+lamont dozier+brian holland+phil collins+arrangement with warner special products,you can't hurry love  (lp version),0,phil collins,0
77183,700839,36942,if you love georgeann,1974.0,phil ippesarde+bob martin,you can't hurry love  (lp version),0,phil collins,0
78352,529029,904104,quality control,2001.0,jurassic 5+akil+soup+lucas macfadden+clarence reid+published by shoodoff music,quality control,2000,jurassic 5,0
83211,730910,502045,stand in the fire,1986.0,diane warren+mickey thomas,jewel in the sun,2002,diane arkenstone,0
86915,430720,582383,the chicken dance,2012.0,werner thomas+terry rendall+el mariachi los hermanos de mateo valadez+arrangement with mateo valadez,the kombination,0,los hermanos,0
90414,659731,243788,problems,2000.0,paul cook    / steve jones    / glen matlock   / john lydon+the sex pistols+arrangement with warner special products,problems (live),1998,sex pistols,0
90416,693326,243788,problems,2008.0,paul cook+steve jones+john lydon+glen matlock+the sex pistols,problems (live),1998,sex pistols,0
99735,428872,73325,everyday is a winding road,2000.0,sheryl crow,everyday is a winding road,1996,sheryl crow,0
103083,662614,712029,the whiffenpoof song (baa! baa! baa!),2006.0,george s. pomeroy+meade minnigerode+tod b. galloway+rev. by rudy vallee,the whiffenpoof song,1998,rudy vallee,0
109116,400307,948352,wait,2001.0,jason ross+seven mary three,wait,2001,seven mary three,0
