,id,ltable_id,rtable_id
6,46674,678831,511255
7,51594,724999,150981
8,53247,690267,328251
17,69290,231063,227686
19,74066,418267,531984
21,76688,575903,36942
22,76689,729825,36942
24,78352,529029,904104
27,90414,659731,243788
28,90416,693326,243788
29,99735,428872,73325
30,103083,662614,712029
31,109116,400307,948352
32,117989,487335,555847
44,135803,678390,276410
52,154004,649107,80809
59,177922,653348,219369
60,180617,649958,892960
68,185039,543731,32820
73,215920,173595,364730
76,220305,231280,387278
98,239919,25038,155989
99,243749,509643,396603
101,250160,302764,243690
102,250183,248971,243690
109,288492,25352,636767
110,289351,230105,600004
121,320855,44501,231010
123,327376,42882,883303
124,327387,605244,883303
134,350868,136431,232128
135,365050,615081,549190
137,373377,726921,748987
138,374836,13445,212102
139,382816,314477,240493
141,390300,574812,532624
145,407000,213944,46779
161,418499,726826,733866
162,418501,220371,733866
163,418504,644175,733866
164,440006,506361,405498
165,443530,377640,62874
166,449357,435930,231408
169,460925,725022,121494
171,465046,160601,951759
172,475003,476209,296908
179,494381,84136,259310
182,509897,728643,292734
193,521666,44488,647246
194,532477,39649,787854
195,540050,531041,908078
196,540055,284280,908078
200,545089,347154,125296
210,554954,668978,932741
211,554956,673032,932741
212,555018,245980,932741
229,563327,523634,52912
233,589032,678522,732385
234,589033,678531,732385
235,589034,681290,732385
236,589035,688597,732385
237,589036,729323,732385
240,590097,557586,549470
241,590098,34760,549470
242,590099,692248,549470
243,590102,733171,549470
263,609172,624176,278846
264,612580,536857,407032
265,620844,645625,777745
267,627707,676564,909370
269,631636,360909,218228
270,632843,662998,139585
304,637392,649477,1716
310,665631,400794,477694
318,672641,312940,268933
321,679607,690591,440003
325,688568,101472,140175
326,692518,217619,435183
328,695752,177720,940742
329,700778,678389,309755
331,701952,716690,843852
336,712945,500645,449913
345,733656,678423,562657
346,733661,686773,562657
347,733664,429177,562657
348,733693,632226,562657
350,736079,171917,608828
351,738601,331105,763754
352,741613,230825,604803
353,744351,217836,673327
355,750347,303076,564375
357,774950,602161,744462
359,779166,360854,139974
361,780717,696991,909161
363,790953,439679,79248
364,791894,567196,214344
365,791920,594891,214344
370,795076,588380,624047
380,801844,471249,115579
385,816015,423481,593854
389,826971,261062,749153
404,876358,405255,535075
405,876368,296730,535075
406,885324,25036,62826
410,899041,234234,758079
411,905890,298762,158423
412,907287,457182,416160
422,934262,658591,31488
424,940021,399227,826713
425,940034,697903,826713
426,940040,583754,826713
447,960560,25940,392001
452,985725,719523,315907
453,985728,605803,315907
455,987398,374967,8188
460,997516,281743,646647
461,997591,476579,646647
465,1005321,451982,339580
466,1013523,468685,828370
467,1013671,665045,895106
470,1030006,211334,894639
474,1048455,218187,330232
475,1050994,362629,459472
476,1062242,492800,725949
490,1087243,301885,446523
494,1106990,325249,188552
495,1116003,679989,217607
497,1122603,700029,730566
498,1136491,103582,102398
499,1139660,591897,910330
500,1157319,396424,916427
501,1157320,663692,916427
509,1172730,423469,861533
511,1190923,612713,928241
514,1193741,260648,535398
515,1200024,715782,554941
521,1210760,10888,823586
522,1216455,550450,467441
523,1216469,698244,467441
525,1216516,654783,467441
526,1218090,692658,18780
527,1218840,267527,743722
531,1227762,493258,742561
535,1238854,335622,899677
536,1249697,83616,386717
538,1264313,620913,157437
541,1279307,327900,902068
544,1286531,651943,179239
546,1293951,44538,771251
547,1297621,104607,309632
549,1299308,90216,624601
555,1320189,492800,828588
557,1322491,174699,764220
558,1325577,585126,603988
560,1334890,417208,92798
563,1343144,377641,204034
568,1360556,404364,220857
569,1360561,256266,220857
574,1371022,635277,565249
578,1383791,678034,630197
580,1401732,265936,58957
594,1426889,152255,142412
596,1440306,446102,585477
598,1455207,34379,223998
603,1485029,73781,107052
605,1489780,356431,954365
606,1491253,654185,833930
609,1499490,560936,869586
610,1500338,638821,240492
615,1508634,219212,541954
627,1518762,692127,702064
641,1544989,678559,581022
643,1554072,302761,36286
662,1577764,189820,270072
681,1645461,317105,37218
682,1645478,258902,37218
683,1649041,449222,960105
714,1658674,694233,712792
726,1679626,258469,172630
736,1684582,339075,294182
738,1704077,599623,724671
765,1731309,647997,868738
766,1732634,6252,514578
767,1732661,713043,514578
771,1747151,171789,12434
772,1757633,357879,776622
774,1758378,258698,6178
775,1763139,413846,10240
776,1768297,302021,614462
778,1777707,330332,143675
779,1780126,437875,68707
798,1803677,555388,368180
800,1808359,457321,731513
801,1816849,172720,227738
802,1816893,732563,227738
803,1819544,61857,906800
809,1828196,253245,547511
810,1828197,253703,547511
811,1831062,330263,646318
813,1837623,191134,49871
817,1840129,683259,657023
831,1847826,700126,754549
832,1847827,453849,754549
840,1861384,701605,260181
877,1937312,538065,223008
930,1967935,597512,830095
943,1985879,439452,677089
944,1989316,597702,353907
947,2005523,485554,136974
948,2013223,112040,936284
952,2022520,534333,163804
954,2027444,614819,104923
957,2031273,138886,343938
958,2031476,246076,88297
962,2047343,714083,870690
967,2065681,690776,105413
970,2072408,138426,808990
971,2075728,218039,351295
973,2084438,669525,744986
975,2096105,19432,537119
987,2146210,427351,600250
992,2157760,258862,214202
998,2169060,83898,250065
1000,2169756,574571,41180
1001,2170332,523197,850053
1014,2189781,662840,617495
1016,2195621,167034,882577
1018,2202404,732042,91489
1019,2202405,732050,91489
1021,2208128,458815,818538
1022,2220468,63326,675656
1023,2222405,624237,374986
1026,2236005,139089,201862
1033,2239810,370559,686252
1034,2241685,694546,551029
1040,2254032,317927,537281
1041,2255210,5911,572379
