_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists
7992,172624,543601,you will find me,2003.0,andrew ripp,we will rock you,0,andrew spencer
16183,634097,418130,sweet lover,1989.0,jack green+ian orkin,robot lover,0,jack oblivian
30794,392501,822820,in time,2015.0,find the others,in that number,0,the perrys
37332,611536,473233,over the hills and far away,1995.0,john tams,so far away,2004,john lord fonda
37484,723458,473233,carried away,2006.0,john dickson,so far away,2004,john lord fonda
42102,706895,766296,morning of the earth,2006.0,g. wayne thomas,child of the ghetto (album version),0,g. dep
46674,678831,511255,poor twisted me,2001.0,james hetfield+lars ulrich+metallica+arrangement with warner special products,poor twisted me,1996,metallica
51594,724999,150981,batman br�t fische,1991.0,fm einheit,batman br�t fische,1990,fm einheit
53247,690267,328251,love is a fire,2005.0,genya ravan+johnny vastano+vini poncia,love is a fire,1979,genya ravan
59804,722610,162594,no comprendo el dia,1999.0,jorge guerrero,el dia que me quieras,0,jorge negrete
66105,674639,754884,dawn of love,1935.0,william axt,all for the love of a woman,1997,william bell
66250,723209,754884,flower of love,1928.0,william axt+david mendoza,all for the love of a woman,1997,william bell
67756,146589,91005,your body is a machine,2011.0,the good natured,leave your body,1992,the grid
68843,172678,91005,your ghost,2003.0,the new amsterdams,leave your body,1992,the grid
68872,570856,91005,your money,2012.0,the indelicates,leave your body,1992,the grid
69058,83318,91005,your touch,2004.0,the black keys,leave your body,1992,the grid
69092,617610,91005,your shadow,2007.0,the exploding hearts,leave your body,1992,the grid
69290,231063,227686,map of the problematique,2010.0,matthew bellamy+muse,map of the problematique [live from wembley stadium],0,muse
73814,483947,349883,match box blues,1983.0,albert king+blind lemon jefferson,blues power,1968,albert king
74066,418267,531984,dagger through the heart,2004.0,dolly parton,dagger through the heart,2002,dolly parton
75955,216688,93753,no air,2005.0,jordin sparks+chris brown,no more walls,1991,dennis brown
76688,575903,36942,you cant hurry love,1985.0,lamont dozier  / brian holland   / eddie holland+phil collins,you can't hurry love  (lp version),0,phil collins
76689,729825,36942,you cant hurry love,1988.0,eddie holland+lamont dozier+brian holland+phil collins+arrangement with warner special products,you can't hurry love  (lp version),0,phil collins
77183,700839,36942,if you love georgeann,1974.0,phil ippesarde+bob martin,you can't hurry love  (lp version),0,phil collins
78352,529029,904104,quality control,2001.0,jurassic 5+akil+soup+lucas macfadden+clarence reid+published by shoodoff music,quality control,2000,jurassic 5
83211,730910,502045,stand in the fire,1986.0,diane warren+mickey thomas,jewel in the sun,2002,diane arkenstone
86915,430720,582383,the chicken dance,2012.0,werner thomas+terry rendall+el mariachi los hermanos de mateo valadez+arrangement with mateo valadez,the kombination,0,los hermanos
90414,659731,243788,problems,2000.0,paul cook    / steve jones    / glen matlock   / john lydon+the sex pistols+arrangement with warner special products,problems (live),1998,sex pistols
90416,693326,243788,problems,2008.0,paul cook+steve jones+john lydon+glen matlock+the sex pistols,problems (live),1998,sex pistols
99735,428872,73325,everyday is a winding road,2000.0,sheryl crow,everyday is a winding road,1996,sheryl crow
103083,662614,712029,the whiffenpoof song (baa! baa! baa!),2006.0,george s. pomeroy+meade minnigerode+tod b. galloway+rev. by rudy vallee,the whiffenpoof song,1998,rudy vallee
109116,400307,948352,wait,2001.0,jason ross+seven mary three,wait,2001,seven mary three
117989,487335,555847,ready for the weekend,2010.0,calvin harris,ready for the weekend,2009,calvin harris
129714,431652,587650,edge of darkness,1991.0,eric clapton+michael kamen+eric clapton  / orchestra,beware of darkness (lp version),0,eric clapton
130975,443154,31366,a day in the life,2010.0,the beatles,life in the bloodstream,0,the guess who
131599,614004,31366,the stars shine in the sky tonight,2007.0,the eels,life in the bloodstream,0,the guess who
131985,688577,31366,in the grace of your love,2014.0,the rapture,life in the bloodstream,0,the guess who
132096,703022,31366,back in the day punk,2011.0,the secretions,life in the bloodstream,0,the guess who
132123,314775,31366,roll me over in the clover,1990.0,the group,life in the bloodstream,0,the guess who
132172,320969,31366,in the shadows,1973.0,the rasmus,life in the bloodstream,0,the guess who
132184,585033,31366,in the city,1977.0,the jam,life in the bloodstream,0,the guess who
132263,723424,31366,the farmers in the dell,1935.0,the jury,life in the bloodstream,0,the guess who
132365,731694,31366,zebra in the kitchen,1965.0,the standells,life in the bloodstream,0,the guess who
132485,630642,31366,in the shadows,2004.0,the rasmus,life in the bloodstream,0,the guess who
135803,678390,276410, (the best part of) breakin up,1987.0,phil spector+vini poncia+pete andreoli+the ronettes,(the best part of) breakin' up,1964,the ronettes
144190,656738,163205,mayfair in may,1938.0,vivian ellis,may,2007,vivian
146470,607279,887709,baby wont you be mine,2004.0,the four probes,want you baby,1979,the plasmatics
146721,529049,887709,baby you make my heart sing,2009.0,the channels,want you baby,1979,the plasmatics
147107,198076,887709,i want all of you,1999.0,the verve pipe,want you baby,1979,the plasmatics
147195,625758,887709,if you want to dance with me,2015.0,beardo the man,want you baby,1979,the plasmatics
147233,648180,887709,do you want to know a secret,2009.0,the beatles,want you baby,1979,the plasmatics
147911,63563,887709,find you ,2001.0,the artist life,want you baby,1979,the plasmatics
154004,649107,80809,pine grove blues,1986.0,dewey balfa+nathan abshire,pine grove blues (2),1993,nathan abshire
156386,488333,653978,waltz in b minor op 69 no. 2,2012.0,fr�d�ric chopin+the apollo symphony orchestra,hungarian dances_ woo 1: no. 19 in b minor,0,berlin symphony orchestra
156475,700587,653978,symphony no. 40 in g minor,1948.0,wolfgang amadeus mozart+the nbc symphony orchestra,hungarian dances_ woo 1: no. 19 in b minor,0,berlin symphony orchestra
160116,706072,139128,war of the rock,1995.0,gil carson,a sign of the ages,1971,gil scott-heron
164843,449232,117794,king of the blues,2004.0,gary moore+the midnght blues,i'll play the blues for you,2006,gary moore
166197,725713,117794,for the wrong reasons,1999.0,amanda kravat+patience moore,i'll play the blues for you,2006,gary moore
172816,81357,521891,lay me down,2008.0,under the influence of giants,washington down,1989,the 4 of us
177922,653348,219369,tell laura i love her,2000.0,jeff barry+ben raleigh+ricky valance,tell laura i love her,1989,ricky valance
180617,649958,892960,and its alright,2011.0,peter broderick,and it's alright,2008,peter broderick
182549,395149,841844,close to me,1999.0,the cure,help me,0,the nimmo brothers
182990,449319,841844,love me,2010.0,the cramps,help me,0,the nimmo brothers
183073,719986,841844,somebody told me,2009.0,the killers,help me,0,the nimmo brothers
183242,339386,841844,all of me,2005.0,the holiday,help me,0,the nimmo brothers
183294,214978,841844,fall behind me,2001.0,the donnas,help me,0,the nimmo brothers
183763,571305,790182,get myself into it,2007.0,the rapture,get it back,2003,the limp twins
184164,204530,790182,got to get back (to my baby),2014.0,the bo-keys,get it back,2003,the limp twins
185039,543731,32820,walkin my baby back home,2003.0,fred e. ahlert+roy turk+nat king cole,walkin' my baby back home,1990,nat king cole
189792,303107,558848,ooh la la,1964.0,the wiseguys,ooh la hot love,2007,the fratellis
189793,304098,558848,ooh la,2006.0,the kooks,ooh la hot love,2007,the fratellis
198975,730287,799065,the beast (acoustic version),2005.0,roky erickson,the beast (live),0,roky erickson and the explosives
214442,175458,311178,wasnt born to follow (album version),2013.0,the byrds,half time (album version),0,the routers
215920,173595,364730,only fooling myself,2003.0,kate voegele,only fooling myself,2007,kate voegele
216386,553677,275200,all for the love of a girl,2007.0,johnny horton,the ways of a woman in love,1958,johnny cash
219018,250043,275200,love of the common people,1969.0,john hurley+ronnie wilkins+ed ames+johnny cash,the ways of a woman in love,1958,johnny cash
220305,231280,387278,what became of the likely lads,2015.0,the libertines,what became of the likely lads,0,the libertines
220310,574356,387278,march of the swivelheads,2015.0,the beat,what became of the likely lads,0,the libertines
220419,520646,387278,hen of the woods,2010.0,the cave singers,what became of the likely lads,0,the libertines
220472,628239,387278,ballad of the whale,1986.0,the yellowjackets,what became of the likely lads,0,the libertines
221193,397266,387278,fear of the future,2000.0,the residents,what became of the likely lads,0,the libertines
221325,157422,387278,news of the world,2005.0,the jam,what became of the likely lads,0,the libertines
221402,301066,387278,talk of the town,1964.0,the pretenders,what became of the likely lads,0,the libertines
221450,699471,387278,slaughter of the soul,2007.0,at the gates,what became of the likely lads,0,the libertines
221485,309705,387278,part of the union,2013.0,the strawbs,what became of the likely lads,0,the libertines
221610,718635,387278,man of the night,2013.0,the hunting party,what became of the likely lads,0,the libertines
221757,729869,387278,the bark of the dog,2011.0,the porcupine singers,what became of the likely lads,0,the libertines
222268,76999,387278,the fire of love,2003.0,the gun club,what became of the likely lads,0,the libertines
222569,665114,288967,rockin around the christmas tree,2006.0,johnny marks+brenda lee,the christmas song,1992,johnny adams
222572,538823,288967,i heard the bells on christmas day,1979.0,johnny marks+robert urich,the christmas song,1992,johnny adams
222602,687933,288967,i heard the bells on christmas day,1975.0,johnny marks+buddy ebsen,the christmas song,1992,johnny adams
222613,694516,288967,rockin around the christmas tree,2007.0,johnny marks+dion dimucci,the christmas song,1992,johnny adams
222690,87600,288967,rockin around the christmas tree,1999.0,johnny marks+brenda lee,the christmas song,1992,johnny adams
222705,629618,288967,rockin around the christmas tree,2009.0,johnny marks+leann rimes,the christmas song,1992,johnny adams
223358,720454,288967,bird song,1993.0,johnny thunders,the christmas song,1992,johnny adams
223382,723580,288967,the dog song,2016.0,johnny papp,the christmas song,1992,johnny adams
224534,707177,288967,the water,2011.0,johnny flynn,the christmas song,1992,johnny adams
237670,167839,720281,el puente,2010.0,los mismos,el pretexto,0,los diablitos
239919,25038,155989,god of emptiness,1993.0,morbid angel,god of emptiness (from the album covenant),1994,morbid angel
243749,509643,396603,el santo cachon,2000.0,romualdo brito+los embajadores vallenatos  with robinson damian,el santo cachon,0,los embajadores vallenatos
243884,167839,396603,el puente,2010.0,los mismos,el santo cachon,0,los embajadores vallenatos
250160,302764,243690,it only takes a minute,1964.0,take that,it only takes a minute,1992,take that
250183,248971,243690,it only takes a minute,2008.0,take that,it only takes a minute,1992,take that
252469,148585,256261,hey baby,2007.0,david baron,rock me baby,2007,david cassidy
252695,665410,256261,rock on,2010.0,david essex,rock me baby,2007,david cassidy
252947,691011,256261,baby you done me wrong,1998.0,david wurst,rock me baby,2007,david cassidy
261217,174325,836080,girlfriend,2003.0,the band,girlfriend in disguise,2000,the mabels
263992,689624,238871,just a little more love,2006.0,david guetta,have a little faith,0,david houston
276389,1765,108268,in the closet,2005.0,michael jackson,it's all in the name,0,clinton jackson
288492,25352,636767,pride & joy,1993.0,david coverdale /jimmy page,pride and joy,1993,coverdale page
289351,230105,600004,heaven must be missing an angel,2005.0,tavares,heaven must be missing an angel,1979,tavares
294991,173059,15306,you made it,2003.0,dj shadow+chris james,do it,0,dj nasty
295253,246075,15306,do you feel,2010.0,dj pushkin+plastic beats,do it,0,dj nasty
295520,457193,48207,anything goes,2009.0,major lazer+turbulence+diplo+switch,anything wrong,0,the major
295576,558069,48207,whats gone wrong,1987.0,the untouchables+josh harris,anything wrong,0,the major
295583,173912,48207,wrong choice,2003.0,the lovely feathers,anything wrong,0,the major
303684,403973,917461,buler�as de juan el camas,2007.0,pata negra,el truco de las mujeres,0,zafra negra
316589,686651,143990,just got lucky,1984.0,the joboxers,we just got to 55!,0,the foundation
316634,649835,143990,just got to be,2008.0,the black keys,we just got to 55!,0,the foundation
316856,60398,143990,i got to sleep,2014.0,the pretenders,we just got to 55!,0,the foundation
319641,700271,757357,all the love in the world,1985.0,carly simon,never fall in love,2006,emilie simon
320855,44501,231010,me against the world,1998.0,simple plan,me against the world (mtv hard rock live version),2005,simple plan
322178,573097,131621,tonight you belong to me,2008.0,paul stanley,never meant to hurt you,0,stanley james
327376,42882,883303,let the mystery be,2011.0,iris dement,let the mystery be (album version),1992,iris dement
327387,605244,883303,let the mystery be,2004.0,iris dement+julie staines,let the mystery be (album version),1992,iris dement
328005,528949,12590,easy way out,2006.0,the pink spiders,on your way out,0,the windupdeads
328022,674845,12590,one way in  no way out,2005.0,the music,on your way out,0,the windupdeads
328066,699612,12590,beat your heart out,2004.0,the distillers+brody dalle,on your way out,0,the windupdeads
328139,608283,12590,no way out,2011.0,the dts,on your way out,0,the windupdeads
328157,626124,12590,beat your heart out,2004.0,the distillers,on your way out,0,the windupdeads
328545,500763,12590,down on your luck,2009.0,the reveillons,on your way out,0,the windupdeads
329012,272093,12590,keep your eyes on the hands,1956.0,the top twenty,on your way out,0,the windupdeads
330606,171384,484262,story of a band,2012.0,todd nathanson,wing of a dove,0,todd wolfe band
338994,732054,152676,you,2004.0,walter donaldson+harold adamson,what's the matter with you,1988,walter horton
