movie_title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,episode,song_title,artists,song_id,track_id
prison break,2008.0,,,8.4,103.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,first down (#2.4),take me home  country roads,bill danoff+taffy nivert+john denver,633964.0,187644.0
prison break,2008.0,,,8.4,103.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,eagles and angels (#4.4),cherry,ufo,44445.0,187633.0
an american tail: fievel goes west,1991.0,75.0,,6.4,17349.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,way out west,james horner+will jennings,341490.0,348253.0
the boys are back,2009.0,104.0,,6.8,8859.0,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,pg-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,love me_ chase me,zane carney+reeve carney+john lipscomb+jonathan epcar (blueztelecaster+scissorhandsongs+name pending music+beardedlady music)+carney,437105.0,650819.0
lantana,2001.0,121.0,,7.4,16548.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,permiso que llego van van,juan formell+los van van,334600.0,511007.0
wake,2003.0,90.0,,6.9,348.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,44.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,dynamite (album),the mother truckers+josh zee+teal collins,22302.0,716497.0
xuxa requebra,1999.0,84.0,,2.0,391.0,64.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,banho de chuveiro,cabo rei+julinho carioca+lazinho do pandeiro+paulo chamusca+terra samba,321504.0,728222.0
hot coffee,2011.0,88.0,,7.6,3224.0,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,i'll sue ya,weird al' yankovic,127884.0,474954.0
panther,1999.0,5.0,,5.5,28.0,0.0,4.5,14.5,14.5,4.5,24.5,24.5,4.5,4.5,4.5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,the world is a ghetto / get down [live],war +harold r. brown+morris d. dickerson+lonnie jordan+charles miller+lee oskar+howard e. scott ).+da lench mob,787604.0,570721.0
we are your friends,2015.0,96.0,2000000.0,6.1,22125.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,r,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,sister saviour (dfa dub),tim goldsworthy+luke jenner+james murphy+vito roccoforte+matt safer+the rapture,925425.0,718525.0
