movie_title,year,episode,song_title,artists,song_id,track_id
the pledge,"[2001, 1996]",nan,poor twisted me,james hetfield+lars ulrich+metallica+arrangement with warner special products,511255.0,678831.0
william s. burroughs: commissioner of sewers,"[1991, 1990]",nan,batman brï¿½t fische,fm einheit,150981.0,724999.0
the warriors,"[2005, 1979]",nan,love is a fire,genya ravan+johnny vastano+vini poncia,328251.0,690267.0
t in the park 2010,2010,muse/calvin harris (#1.3),map of the problematique [live from wembley stadium],matthew bellamy+muse,227686.0,231063.0
dolly parton: live & well,"[2004, 2002]",nan,dagger through the heart,dolly parton,531984.0,418267.0
phil collins: no jacket required,1985,nan,you can't hurry love  (lp version),lamont dozier  / brian holland   / eddie holland+phil collins,36942.0,575903.0
you cant hurry love,1988,nan,you can't hurry love  (lp version),eddie holland+lamont dozier+brian holland+phil collins+arrangement with warner special products,36942.0,729825.0
made,"[2001, 2000]",nan,quality control,jurassic 5+akil+soup+lucas macfadden+clarence reid+published by shoodoff music,904104.0,529029.0
the filth and the fury,"[2000, 1998]",nan,problems (live),paul cook    / steve jones    / glen matlock   / john lydon+the sex pistols+arrangement with warner special products,243788.0,659731.0
therell always be an england,"[2008, 1998]",nan,problems (live),paul cook+steve jones+john lydon+glen matlock+the sex pistols,243788.0,693326.0
ellen degeneres: the beginning,"[2000, 1996]",nan,everyday is a winding road,sheryl crow,73325.0,428872.0
the good shepherd,"[2006, 1998]",nan,the whiffenpoof song (baa! baa! baa!),george s. pomeroy+meade minnigerode+tod b. galloway+rev. by rudy vallee,712029.0,662614.0
crazy/beautiful,2001,nan,wait,jason ross+seven mary three,948352.0,400307.0
isle of wight festival 2010: live,"[2010, 2009]",nan,ready for the weekend,calvin harris,555847.0,487335.0
the pick-up artist,"[1987, 1964]",nan, (the best part of) breakin up,phil spector+vini poncia+pete andreoli+the ronettes,276410.0,678390.0
the big easy,"[1986, 1993]",nan,pine grove blues (2),dewey balfa+nathan abshire,80809.0,649107.0
the closer you get,"[2000, 1989]",nan,tell laura i love her,jeff barry+ben raleigh+ricky valance,219369.0,653348.0
the bleeding,"[2011, 2008]",nan,and it's alright,peter broderick,892960.0,649958.0
mona lisa smile,"[2003, 1990]",nan,walkin' my baby back home,fred e. ahlert+roy turk+nat king cole,32820.0,543731.0
one tree hill,"[2003, 2007]",running to stand still (#5.10),only fooling myself,kate voegele,364730.0,173595.0
t in the park 2015,2015,weekend highlights: part 4 (#1.64),what became of the likely lads,the libertines,387278.0,231280.0
beavis and butt-head,"[1993, 1994]",date bait (#4.18),god of emptiness (from the album covenant),morbid angel,155989.0,25038.0
la virgen de los sicarios,2000,nan,el santo cachon,romualdo brito+los embajadores vallenatos  with robinson damian,396603.0,509643.0
top of the pops,"[1964, 1992]",(1996-01-18),it only takes a minute,take that,243690.0,302764.0
the inbetweeners,"[2008, 1992]",caravan club (#1.5),it only takes a minute,take that,243690.0,248971.0
beavis and butt-head,1993,temporary insanity (#5.8),pride and joy,david coverdale /jimmy page,636767.0,25352.0
supernatural,"[2005, 1979]",the devil in the details (#11.10),heaven must be missing an angel,tavares,600004.0,230105.0
charmed,"[1998, 2005]",freaky phoebe (#7.19),me against the world (mtv hard rock live version),simple plan,231010.0,44501.0
case histories,"[2011, 1992]",case histories  part 1 (#1.1),let the mystery be (album version),iris dement,883303.0,42882.0
saved!,"[2004, 1992]",nan,let the mystery be (album version),iris dement+julie staines,883303.0,605244.0
later... with jools holland,"[1992, 2009]",(#35.1),to be still (album version),alela diane,232128.0,136431.0
silent voyeur,"[2004, 1956]",nan,release me,robert yount+eddie miller+dub williams+kitty wells,549190.0,615081.0
woody allen: a documentary,"[2012, 1990]",nan,as time goes by,herman hupfeld+dooley wilson,748987.0,726921.0
amï¿½rica,"[2005, 1968]",(2005-03-14),atï¿½ pensei,chico buarque+nana caymmi,212102.0,13445.0
wkrp in cincinnati,"[1978, 1979]",the patter of little feet (#2.8),still,lionel richie+the commodores,240493.0,314477.0
perkele! kuvia suomesta,1971,nan,laulu nesteestï¿½,m.a. numminen,532624.0,574812.0
skam,"[2015, 2008]",noora  du trenger pikk (#2.7),clumsy,fergie,46779.0,213944.0
woo,"[1998, 1988]",nan,push it,hurby luv bug azor+ray davies+salt-n-pepa+arrangement with polygram film+tv music,733866.0,726826.0
sounds of the 80s,"[2014, 1988]",sporting 80s special with kriss akabusi (#1.17),push it,salt-n-pepa,733866.0,220371.0
the 40 year old virgin,"[2005, 1988]",nan,push it,hurby luv bug azor+ray davies+salt-n-pepa,733866.0,644175.0
la bamba,1987,nan,framed,los lobos,405498.0,506361.0
britpop now,1995,nan,meet ze monsta,pj harvey,62874.0,377640.0
falco lebt!,2007,nan,it's all over now_ baby blue,bob dylan+falco,231408.0,435930.0
willkommen im krieg,"[2012, 2008]",nan,sex on fire,kings of leon,121494.0,725022.0
muppets tonight,1996,coolio & don rickles (#2.5),1-2-3-4 (sumpin' new) (lp version),coolio,951759.0,160601.0
how we got away with it,2014,nan,available light,willy porter,296908.0,476209.0
esperanï¿½a,2002,nan,la mï¿½sica ï¿½ finita,ornella vanoni,259310.0,84136.0
year of the dog,2007,nan,music for a found harmonium (live) (2001 digital remaster),the penguin cafe orchestra,292734.0,728643.0
charmed,"[1998, 1995]",dream sorcerer (#1.5),a stroke of luck,garbage,647246.0,44488.0
csi: miami,"[2002, 2001]",slaughterhouse (#1.8),in the mouth of the fish,ernst meinrath+airlock,787854.0,39649.0
make the yuletide gay,2009,nan,o holy night,bebe winans,908078.0,531041.0
the war,2007,the ghost front: december 1944 - march 1945 (#1.6),o holy night,bebe winans,908078.0,284280.0
american psycho,2000,nan,secreil nicht,mediaeval baebes,125296.0,347154.0
the last days of disco,"[1998, 1976]",nan,turn the beat around,peter jackson+gerald jackson+vicki sue robinson,932741.0,668978.0
the martian,"[2015, 1976]",nan,turn the beat around (love to hear percussion),peter jackson jr.+gerald jackson+vicki sue robinson+arrangement with sony music licensing,932741.0,673032.0
the get down,"[2016, 1976]",seek those who fan your flames (#1.2),turn the beat around,vicki sue robinson,932741.0,245980.0
los nï¿½1 de 40 en concierto,"[2006, 1991]",nan,20 de abril,celtas cortos+seguridad social,52912.0,523634.0
the pink panther,"[2006, 1998]",nan,the pink panther theme (paul oakenfold remix),henry mancini,732385.0,678522.0
the pink panther,"[2006, 1998]",nan,the pink panther theme (malibu remix),henry mancini,732385.0,678531.0
the return of the pink panther,"[1975, 1998]",nan,the pink panther theme,henry mancini,732385.0,681290.0
the truth is out there,"[2011, 1998]",nan,pink panther theme,henry mancini,732385.0,688597.0
yilmayan seytan,"[1973, 1998]",nan,the pink panther theme,henry mancini,732385.0,729323.0
nirvana live! tonight! sold out!!,1994,nan,smells like teen spirit,kurt cobain+krist novoselic+dave grohl+nirvana,549470.0,557586.0
born to be wild: the golden age of american rock,2014,welcome to the jungle (#1.3),smells like teen spirit,kurt cobain+dave grohl+krist novoselic+nirvana,549470.0,34760.0
the worlds greatest gigs,2005,nan,smells like teen spirit (live at reading 92),kurt cobain+krist novoselic+dave grohl+nirvana,549470.0,692248.0
exploitation cinema,2009,nan,smells like teen spirit,kurt cobain+dave grohl+krist novoselic+nirvana,549470.0,733171.0
soulboy,2010,nan,be young_ be foolish_ be happy,the tams,278846.0,624176.0
medal of honor,2008,nan,the thunderer,john philip sousa+the us coast guard band,407032.0,536857.0
the acid house,"[1998, 1999]",nan,insect royalty,primal scream,777745.0,645625.0
the old mill pond,"[1936, 1996]",nan,kicking the gong around,harold arlen+cab calloway  caricature+orchestra,909370.0,676564.0
barnyard,"[2006, 1996]",nan,freedom is a voice,bobby mcferrin+russell ferrante,218228.0,360909.0
the great caruso,1951,nan,torna a surriento (serenade),mario lanza+ernesto de curtis,139585.0,662998.0
the big something,2011,nan,maple leaf rag,scott joplin+the new orleans feetwarmers,1716.0,649477.0
critical,"[2007, 2005]",nan,heart of snow,black mountain,477694.0,400794.0
via llibre,2011,(#3.23),pï¿½jaros de barro,manolo garcï¿½a+ï¿½lex monner,268933.0,312940.0
the we and the i,"[2012, 2005]",nan,satellite anthem icarus,marcus eoin+michael sandison+boards of canada,440003.0,690591.0
graduados,2012,(#1.178),la mirada del adios (demo 90),los rodrï¿½guez,140175.0,101472.0
so you think you can dance,2005,top 6 (#3.20),rock your soul,elisa,435183.0,217619.0
parenthood,"[2010, 1998]",happy thanksgiving (#2.10),diggin me  (lp version),martin sexton,940742.0,177720.0
the pick-up artist,"[1987, 1960]",nan,lonely boy,paul anka,309755.0,678389.0
walk hard: the dewey cox story,2007,nan, (i hate you) big daddy,mike viola+john c. reilly,843852.0,716690.0
kill your idols,"[2004, 1978]",nan,burning rubber,teenage jesus_ the jerks,449913.0,500645.0
