,id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year,gold_label
138,1717,5809.0,693287.0,the interview,"[2014, 2009]",the ann handle interview,2014.0,0
236,2808,763.0,546449.0,man of the year,"[2006, 1985]",party of the year,2005.0,0
219,2578,2991.0,669474.0,subterranean,"[2003, 2004]",subterranean,1999.0,0
274,3315,6583.0,512488.0,norbit,"[2007, 1992]",norbit,2007.0,1
278,3362,595.0,730706.0,the crying game,"[1992, 1979]",the killing game,1988.0,0
307,3630,2598.0,697321.0,the big empty,"[2005, 2000]",the big city,2010.0,0
239,2853,7146.0,527616.0,once upon a time,"[2011, 1957]",once upon a time in space,2016.0,0
35,495,5722.0,106229.0,bones,"[2005, 2010]",bones,2001.0,0
204,2391,763.0,265876.0,man of the year,"[2006, 1985]",game of the year,2009.0,0
392,4596,4295.0,760301.0,the swing of things,"[2013, 1996]",the shape of things,2001.0,0
67,918,5376.0,692499.0,the butcher,"[2013, 2005]",the alabama butcher,2016.0,0
24,309,1759.0,839154.0,welcome to the dollhouse,1995,welcome to the dollhouse,1995.0,1
332,3950,7146.0,527631.0,once upon a time,"[2011, 1957]",once upon a time in the cia,2007.0,0
44,574,4745.0,722609.0,the great everything & the nothing,"[2016, 1999]",the great everything & the nothing,2016.0,1
241,2890,706.0,759331.0,the secret life of pets,"[2016, 1975]",the secret life of marionettes,2013.0,0
129,1630,760.0,812212.0,undercover brother,"[2002, 1974]",undercover brother,2002.0,1
93,1248,4496.0,667905.0,strike!,"[1998, 1965]",strike!,1965.0,1
111,1427,2414.0,839143.0,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011.0,0
166,2071,57.0,748062.0,the pink panther,"[2006, 1998]",the panther,2007.0,0
389,4559,3347.0,269754.0,gentlemen broncos,"[2009, 1984]",gentlemen broncos,2009.0,1
383,4496,2232.0,692958.0,american nightmare,2002,the american nightmare,2000.0,0
342,4059,6071.0,527506.0,once upon a time,2011,once upon a hill,2010.0,0
40,534,6148.0,256575.0,four jills in a jeep,1944,four jills in a jeep,1944.0,1
18,215,1559.0,542717.0,panther,1995,panther,1999.0,1
284,3434,4448.0,768522.0,the box,2009,the tin box,2013.0,0
79,1081,447.0,173538.0,dead end drive-in,"[1986, 2003]",dead end drive,2007.0,0
249,3014,1134.0,839215.0,welcome to the 80s,"[2009, 1998]",welcome to the zoo,2012.0,0
394,4621,7146.0,527625.0,once upon a time,"[2011, 1957]",once upon a time in venice,2016.0,0
71,972,4906.0,103885.0,bluesland: a portrait in american music,1993,bluesland: a portrait in american music,1993.0,1
13,128,4088.0,839179.0,welcome to the 80s,"[2009, 2006]",welcome to the majority,2013.0,0
367,4325,6375.0,482962.0,morning light,"[2008, 2004]",morning light,2010.0,0
213,2526,5623.0,337034.0,independent lens,1999,independent,1998.0,0
385,4513,5413.0,139820.0,chun gwong cha sit,"[1997, 2000]",chun gwong cha sit,1997.0,1
388,4551,412.0,492914.0,my name is earl,"[2005, 1967]",my name is naji,2010.0,0
228,2662,6462.0,705110.0,the debt collector,"[1999, 1974]",the collector,1997.0,0
160,1962,3103.0,373323.0,kill your darlings,"[2013, 2005]",kill your darling,2007.0,0
104,1378,425.0,691153.0,the 40 year old virgin,"[2005, 1988]",the 40 year old virgin,2005.0,1
161,1975,4895.0,805116.0,u2: under a blood red sky,"[1983, 1980]",u2: under a blood red sky,1983.0,1
83,1101,799.0,52415.0,waking the dead,"[2000, 1997]",among the dead,1997.0,0
189,2254,1423.0,649457.0,so you think you can dance canada,"[2008, 2007]",so you think you can kill,2013.0,0
397,4648,87.0,8526.0,90 minutes in heaven,2015,7 minutes in heaven,2011.0,0
118,1482,3074.0,649458.0,so you think you can dance canada,"[2008, 2005]",so you think you can prance,2013.0,0
254,3043,3323.0,639562.0,siete mesas de billar franc�s,"[2007, 2005]",siete mesas de billar franc?s,2007.0,1
188,2247,5168.0,649457.0,so you think you can dance canada,"[2008, 2006]",so you think you can kill,2013.0,0
208,2420,5553.0,321621.0,i spill your guts,"[2012, 2006]",i spill your guts,2012.0,1
375,4417,2193.0,515144.0,now is good,2012,now is good,2012.0,1
110,1426,1894.0,839143.0,welcome to the 80s,"[2009, 2006]",welcome to the bathtub,2011.0,0
149,1804,5327.0,756820.0,the rocketeer,1991,the rocketeer,1991.0,1
157,1929,137.0,492919.0,my name is joe,"[1998, 1968]",my name is oona,1969.0,0
152,1825,1285.0,837461.0,we need to talk about kevin,"[2011, 2009]",we need to talk about barbie,2016.0,0
16,162,1816.0,78112.0,riris back to work,"[2016, 2005]",back to work,2013.0,0
269,3180,482.0,781782.0,threat,"[2006, 2001]",threat,2010.0,0
75,1009,3276.0,776498.0,the world is just a b movie,1971,the world is just a 'b' movie,1971.0,1
109,1424,1817.0,839143.0,welcome to the 80s,"[2009, 1980]",welcome to the bathtub,2011.0,0
327,3918,719.0,335454.0,in the land of women,2007,in the land of g-d,2009.0,0
205,2393,6258.0,747781.0,the nanny diaries,"[2007, 1974]",the pbr diaries,2012.0,0
315,3751,7167.0,86882.0,beautiful  beautiful,2011,beautiful ink,2016.0,0
139,1733,590.0,563806.0,pollock,"[2000, 1956]",pollock,2000.0,1
237,2813,5450.0,774448.0,the wendell baker story,"[2005, 1971]",the wendell baker story,2005.0,1
319,3797,7167.0,791017.0,beautiful  beautiful,2011,too beautiful,2016.0,0
248,2991,550.0,741479.0,call the midwife,"[2012, 1992]",the midwife,2012.0,0
308,3648,3023.0,850992.0,without limits,1998,without limits,1998.0,1
19,222,4630.0,712566.0,this is the end,"[2013, 1982]",the end,2016.0,0
226,2647,5371.0,506541.0,new orleans,"[1947, 1987]",night in new orleans,1942.0,0
306,3622,6669.0,57561.0,angel,"[1999, 1981]",angel,1982.0,0
3,42,2634.0,527545.0,once upon a wheel,1971,once upon a scoundrel,1974.0,0
276,3355,3639.0,206827.0,dumb and dumber to,"[2014, 1979]",dumb and dumber to,2014.0,1
125,1560,1457.0,418901.0,led zeppelin: celebration day,"[2012, 2007]",led zeppelin: celebration day,2012.0,1
77,1052,3913.0,204000.0,dreamtime,"[2002, 2001]",dreamtime,2006.0,0
184,2223,6301.0,649457.0,so you think you can dance,"[2005, 2009]",so you think you can kill,2013.0,0
301,3592,4370.0,839145.0,welcome to the rileys,2010,welcome to the bubs,2013.0,0
379,4445,6154.0,248407.0,fireproof,"[2008, 2007]",fireproof,2013.0,0
346,4130,595.0,763203.0,the crying game,"[1992, 1979]",the spanking game,1993.0,0
182,2192,3349.0,266686.0,garbage! the revolution starts at home,"[2007, 2004]",garbage! the revolution starts at home,2007.0,1
356,4231,4034.0,820193.0,valley girl,"[1983, 1982]",valley girl,1983.0,1
80,1085,1281.0,740133.0,the mindy project,"[2012, 1976]",the mars project,2008.0,0
258,3077,3713.0,515101.0,now & forever,"[2002, 1999]",now & forever,2002.0,1
11,126,4565.0,839179.0,welcome to the 80s,2009,welcome to the majority,2013.0,0
298,3585,5690.0,839145.0,welcome to the 80s,"[2009, 1981]",welcome to the bubs,2013.0,0
86,1147,854.0,736771.0,the lost city,2005,the lost colony,2007.0,0
266,3128,4180.0,774230.0,the wedding singer,"[1998, 1984]",the wedding,2001.0,0
36,496,5730.0,106229.0,bones,2005,bones,2001.0,0
382,4482,971.0,820005.0,valentines day,"[2010, 1966]",valentines day,2007.0,0
58,776,1592.0,708979.0,the singing detective,2003,the dead detective,2008.0,0
