id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year,gold_label
33,3476,571847,prison break,2005,prison break,2008,1
34,2365,828790,las vegas,"[2003, 1963]",viva las vegas,1964,0
40,307,53603,an american tail: fievel goes west,1991,an american tail: fievel goes west,1991,1
42,2634,527545,once upon a wheel,1971,once upon a scoundrel,1974,0
73,4723,700054,the boys are back,2009,the boys are back,2009,1
95,5055,778540,here i am,"[2011, 2006]",there i am,2011,0
111,3714,498542,narco,2004,narco,2004,1
114,5690,839179,welcome to the 80s,"[2009, 1981]",welcome to the majority,2013,0
116,3244,839179,welcome to the 80s,"[2009, 1986]",welcome to the majority,2013,0
117,174,839179,welcome to the 80s,"[2009, 1988]",welcome to the majority,2013,0
118,2251,839179,welcome to the 80s,"[2009, 1985]",welcome to the majority,2013,0
126,4565,839179,welcome to the 80s,2009,welcome to the majority,2013,0
127,2038,839179,welcome to the 80s,"[2009, 1980]",welcome to the majority,2013,0
128,4088,839179,welcome to the 80s,"[2009, 2006]",welcome to the majority,2013,0
139,935,827245,vinyl,"[2016, 2000]",vinyl,2000,1
150,4047,372363,kick-ass,"[2010, 2008]",kick-ass 2,2013,0
162,1816,78112,riris back to work,"[2016, 2005]",back to work,2013,0
172,2906,855979,xuxa requebra,1999,xuxa requebra,1999,1
215,1559,542717,panther,1995,panther,1999,1
222,4630,712566,this is the end,"[2013, 1982]",the end,2016,0
225,3887,754865,the deal,"[2008, 2006]",the reel deal,2002,0
231,3850,510994,nobody,2012,nobody,2007,0
234,5660,756157,the wedding ringer,"[2015, 2009]",the ringer,2013,0
308,4671,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
309,1759,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
312,584,459251,married life,"[2007, 2004]",married life,2007,1
321,4615,860761,you dont know jack,"[2010, 1973]",you don't know jack,2006,1
387,2803,720974,the hardy girls,"[1974, 1970]",the girls,1968,0
426,6144,718195,the forger,"[2012, 1988]",the forger,2012,1
427,1215,718195,the forger,2012,the forger,2012,1
442,6869,819378,vacation,"[2015, 1981]",vacation,2012,0
447,2664,373755,killing bono,"[2011, 1984]",killing bono,2011,1
470,5462,721809,the girl,2012,the good girl,2011,0
478,6235,737099,the look of love,"[2013, 1996]",the love,2016,0
481,944,49344,alvin and the chipmunks,"[2007, 1980]",alvin and the chipmunks easter collection,2012,0
495,5722,106229,bones,"[2005, 2010]",bones,2001,0
496,5730,106229,bones,2005,bones,2001,0
510,4316,711942,the dream,"[2014, 2003]",the dream role,2011,0
515,6077,631917,shelter,2014,shangku shelter,2017,0
530,3359,701020,the buddy holly story,"[1978, 1973]",the buddy holly story,1978,1
534,6148,256575,four jills in a jeep,1944,four jills in a jeep,1944,1
538,1257,780446,this is it,2009,this is it,2009,1
552,47,288715,year of the dog,2007,hair of the dog,2008,0
555,2987,397695,la linea,"[2009, 2008]",la linea,2009,1
574,4745,722609,the great everything & the nothing,"[2016, 1999]",the great everything & the nothing,2016,1
606,3632,251022,flight,"[2012, 1972]",flight,1967,0
622,5462,745191,the girl,2012,the night girl,2016,0
643,2,723943,the warriors,"[2005, 1979]",the gypsy warriors,1978,0
685,1168,616903,saturday night live,"[1975, 2009]",saturday night thing,2014,0
691,5504,616903,saturday night live,"[1975, 2009]",saturday night thing,2014,0
712,5890,187319,diary,"[2010, 1994]",diary,1998,0
729,5747,536408,shes out of control,"[1989, 1959]",out of control,1992,0
730,4302,536408,shes out of control,"[1989, 1959]",out of control,1992,0
731,3320,536408,shes out of control,"[1989, 1959]",out of control,1992,0
737,3132,458298,woman in the mirror,2013,marie in the mirror,2010,0
745,1501,803900,one night stand,"[2010, 1989]",two night stand,2005,0
750,7102,537630,somewhere over the rainbow,"[2014, 1978]",over the rainbow,2015,0
758,2026,854181,wrong side of town,"[2010, 2007]",wrong side of the bus,2009,0
776,1592,708979,the singing detective,2003,the dead detective,2008,0
782,874,708979,the singing detective,2003,the dead detective,2008,0
822,7074,499501,nativity 2: danger in the manger!,"[2012, 2006]",nativity 2: danger in the manger!,2012,1
832,1351,331908,imitation life,"[2008, 2004]",imitation,2007,0
867,5879,840841,what happens in vegas,"[2008, 2006]",what happens in vegas,2008,1
868,383,840841,what happens in vegas,"[2008, 1997]",what happens in vegas,2008,1
876,5870,419292,legend,"[2015, 1999]",legend,2013,0
885,6603,674279,surviving christmas,"[2004, 2009]",surviving christmas,2004,1
897,371,93229,beware the gonzo,"[2010, 2009]",beware the gonzo,2010,1
918,5376,692499,the butcher,"[2013, 2005]",the alabama butcher,2016,0
921,6313,94733,friends,1994,bi friends,1996,0
943,573,860471,you again,"[2010, 2003]",you again,2010,1
969,2588,692126,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998,1
972,4906,103885,bluesland: a portrait in american music,1993,bluesland: a portrait in american music,1993,1
976,4448,737115,the box,2009,the love box,2007,0
979,574,690906,the x factor,"[2004, 2009]",the 'wow' factor,2011,0
991,4920,690906,the x factor,"[2004, 2008]",the 'wow' factor,2011,0
1009,3276,776498,the world is just a b movie,1971,the world is just a 'b' movie,1971,1
1045,6071,527636,once upon a time,2011,once upon a time in the east,2011,1
1052,3913,204000,dreamtime,"[2002, 2001]",dreamtime,2006,0
1069,1966,565555,porkys ii: the next day,"[1983, 1986]",porky's ii: the next day,1983,1
1081,447,173538,dead end drive-in,"[1986, 2003]",dead end drive,2007,0
1085,1281,740133,the mindy project,"[2012, 1976]",the mars project,2008,0
1086,4398,740133,the mindy project,"[2012, 2004]",the mars project,2008,0
1087,6454,740133,the mindy project,2012,the mars project,2008,0
1101,799,52415,waking the dead,"[2000, 1997]",among the dead,1997,0
1111,5764,448918,made in chelsea,"[2011, 2010]",made in china,2006,0
1142,2099,29489,a walk to beautiful,"[2007, 2005]",a walk to beautiful,2007,1
1147,854,736771,the lost city,2005,the lost colony,2007,0
1160,6819,760558,the shield,"[2002, 2000]",the shield,2002,1
1163,7121,760558,the shield,"[2002, 2003]",the shield,2002,1
1165,4199,760558,the shield,"[2002, 2000]",the shield,2002,1
1236,854,704269,the lost city,2005,the city,2010,1
1239,6458,743035,the motel life,"[2012, 2002]",the motel,2010,0
1247,4448,694824,the box,2009,the aztec box,2013,0
1248,4496,667905,strike!,"[1998, 1965]",strike!,1965,1
1255,600,801615,tuno negro,"[2001, 2000]",tuno negro,2001,1
1257,17,698578,the bleeding,"[2011, 2008]",the bleeding,2011,1
1270,5531,134007,cheaper by the dozen 2,2005,cheaper by the dozen,2003,0
1273,47,858143,year of the dog,2007,year of the rat,2011,0
1292,939,108902,boy eats girl,"[2005, 2003]",boy greets girl,2008,0
1306,7003,740342,the master,2012,the master,2012,1
1331,5197,247650,finding the funk,2013,finding the funny,2012,0
1352,3998,51107,american beauty,1999,american beauty,1999,1
1354,2856,723195,the greatest,"[2009, 2007]",the greatest victory,2013,0
1377,4733,691153,the 40 year old virgin,"[2005, 1983]",the 40 year old virgin,2005,1
1378,425,691153,the 40 year old virgin,"[2005, 1988]",the 40 year old virgin,2005,1
1385,4316,728075,the dream,"[2014, 2003]",the impossible dream,2017,0
1394,1360,772820,the voice uk,"[2012, 2007]",the voice box,2010,0
1404,4681,729034,the invisible circus,"[2001, 2005]",the invisible,2007,0
1418,5690,839143,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011,0
1424,1817,839143,welcome to the 80s,"[2009, 1980]",welcome to the bathtub,2011,0
1426,1894,839143,welcome to the 80s,"[2009, 2006]",welcome to the bathtub,2011,0
1427,2414,839143,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011,0
1429,5001,839143,welcome to the 80s,"[2009, 1988]",welcome to the bathtub,2011,0
1457,6190,649458,so you think you can dance canada,"[2008, 2007]",so you think you can prance,2013,0
1468,2267,649458,so you think you can dance,"[2005, 2009]",so you think you can prance,2013,0
1472,4460,649458,so you think you can dance canada,2008,so you think you can prance,2013,0
1476,2492,649458,so you think you can dance,"[2005, 2009]",so you think you can prance,2013,0
1481,969,649458,so you think you can dance,"[2005, 2010]",so you think you can prance,2013,0
1482,3074,649458,so you think you can dance canada,"[2008, 2005]",so you think you can prance,2013,0
1484,5153,649458,so you think you can dance,"[2005, 2009]",so you think you can prance,2013,0
1488,7017,649458,so you think you can dance canada,"[2008, 2006]",so you think you can prance,2013,0
1519,2067,802266,tusk,"[2014, 1964]",tusk,2014,1
1520,4876,701469,the business of being born,"[2008, 2000]",the business of being born,2008,1
1528,5526,76361,baseketball,1998,baseketball,1998,1
1535,7258,486182,mental,"[2012, 1962]",mr. mental,2016,0
1560,1457,418901,led zeppelin: celebration day,"[2012, 2007]",led zeppelin: celebration day,2012,1
1561,6105,418901,led zeppelin: celebration day,"[2012, 2007]",led zeppelin: celebration day,2012,1
1605,3348,555996,pi,1998,pi,1998,1
