id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year
32,592.0,571847.0,prison break,"[2005, 1978]",prison break,2008.0
33,3476.0,571847.0,prison break,2005,prison break,2008.0
34,2365.0,828790.0,las vegas,"[2003, 1963]",viva las vegas,1964.0
37,1450.0,828790.0,las vegas,"[2003, 1963]",viva las vegas,1964.0
40,307.0,53603.0,an american tail: fievel goes west,1991,an american tail: fievel goes west,1991.0
42,2634.0,527545.0,once upon a wheel,1971,once upon a scoundrel,1974.0
48,5010.0,827242.0,vinyl,"[2016, 1970]",vinyl,1965.0
58,4949.0,722638.0,the great gatsby,"[2013, 2006]",the great gabble,2003.0
59,3283.0,260836.0,from hell,2001,from hell,2001.0
66,3251.0,711622.0,the doors,1991,the doors,1991.0
67,2264.0,711622.0,the doors,"[1991, 1965]",the doors,1991.0
68,411.0,711622.0,the doors,"[1991, 1967]",the doors,1991.0
69,4515.0,711622.0,the doors,"[1991, 1967]",the doors,1991.0
70,4092.0,711622.0,the doors,1991,the doors,1991.0
73,4723.0,700054.0,the boys are back,2009,the boys are back,2009.0
86,2281.0,407456.0,lantana,"[2001, 1999]",lantana,2001.0
91,6703.0,851054.0,me without you,"[2001, 1982]",without you,2005.0
92,5545.0,851054.0,me without you,"[2001, 1975]",without you,2005.0
95,5055.0,778540.0,here i am,"[2011, 2006]",there i am,2011.0
106,159.0,749369.0,the perfect score,"[2004, 2002]",the perfect show,2007.0
111,3714.0,498542.0,narco,2004,narco,2004.0
114,5690.0,839179.0,welcome to the 80s,"[2009, 1981]",welcome to the majority,2013.0
115,1134.0,839179.0,welcome to the 80s,"[2009, 1998]",welcome to the majority,2013.0
116,3244.0,839179.0,welcome to the 80s,"[2009, 1986]",welcome to the majority,2013.0
117,174.0,839179.0,welcome to the 80s,"[2009, 1988]",welcome to the majority,2013.0
118,2251.0,839179.0,welcome to the 80s,"[2009, 1985]",welcome to the majority,2013.0
119,3814.0,839179.0,welcome to the 80s,"[2009, 2006]",welcome to the majority,2013.0
120,1817.0,839179.0,welcome to the 80s,"[2009, 1980]",welcome to the majority,2013.0
121,837.0,839179.0,welcome to the 80s,2009,welcome to the majority,2013.0
122,1894.0,839179.0,welcome to the 80s,"[2009, 2006]",welcome to the majority,2013.0
123,2414.0,839179.0,welcome to the 80s,"[2009, 1981]",welcome to the majority,2013.0
124,6805.0,839179.0,welcome to the 80s,"[2009, 1992]",welcome to the majority,2013.0
125,5001.0,839179.0,welcome to the 80s,"[2009, 1988]",welcome to the majority,2013.0
126,4565.0,839179.0,welcome to the 80s,2009,welcome to the majority,2013.0
127,2038.0,839179.0,welcome to the 80s,"[2009, 1980]",welcome to the majority,2013.0
128,4088.0,839179.0,welcome to the 80s,"[2009, 2006]",welcome to the majority,2013.0
130,1741.0,363168.0,kaboom,"[2010, 2009]",kaboom,2010.0
136,1432.0,833034.0,wake,"[2009, 2008]",wake,2003.0
139,935.0,827245.0,vinyl,"[2016, 2000]",vinyl,2000.0
